logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
GPR77	4.47314937872225	3.99804406628808	4.94825469115643	1.75807372917011	18.6046551891848	1.18795557794059e-40	1.11093645797077e-37	81.569904380108
KCNJ11	3.68124918008007	3.28299046904645	4.07950789111369	3.65821535848266	18.2653518295525	8.0138229848505e-40	7.09982538442044e-37	80.0233512588755
THSD4	4.29905028887975	3.82140121343957	4.77669936431992	6.51146366167	17.7853204438663	1.22175588874976e-38	1.02829084376624e-35	77.3461585818673
ROPN1	-7.38169724253263	-8.20326600431297	-6.56012848075228	-2.17465364943205	-17.754580746415	1.45597322077092e-38	1.16706653453509e-35	76.3591992034338
C6orf97	4.53500907790318	4.0266704103965	5.04334774540986	3.91551472757332	17.628815194977	2.98734163156557e-38	2.2857237129156e-35	76.4439841863645
SIDT1	4.17055063733385	3.69943192229423	4.64166935237347	4.65778280239509	17.4928733692658	6.50987605937664e-38	4.76438016119509e-35	75.6898088295912
IFRD1	-1.89696453065016	-2.12081264760976	-1.67311641369056	4.78643249991292	-16.7457219435023	4.88843569001571e-36	3.42862658208477e-33	71.3847238587521
BCL11A	-4.89733195879416	-5.48073875556213	-4.31392516202619	0.987320561990273	-16.5876998810137	1.22830059482405e-35	8.27039356506929e-33	70.3457394788034
GPR160	2.87323521608221	2.52933678650963	3.21713364565479	5.25527037433315	16.5096968421283	1.93754020193812e-35	1.25440823920094e-32	70.0188438130142
ZNF552	3.33331768898917	2.92892275111154	3.7377126268668	5.71393236869287	16.2880504910946	7.09982394383321e-35	4.42634579431646e-32	68.721308092614
DEGS2	4.84887292463024	4.25325129575415	5.44449455350634	5.13683474074523	16.0867552056718	2.31946075886292e-34	1.39441010549784e-31	67.5678984391025
ERBB4	6.28319652910206	5.51056675744818	7.05582630075594	4.15436525291755	16.0696832236686	2.56492399135035e-34	1.48880570849657e-31	67.4654809563534
VGLL1	-8.0112201227195	-9.0019331757041	-7.02050706973489	-1.38086286470315	-15.9789740109788	4.37941043835745e-34	2.45728719696237e-31	66.6823254593126
ACADSB	2.98105700789167	2.61170724432478	3.35040677145857	6.47506597937817	15.9488938084221	5.23048523460784e-34	2.84015348239206e-31	66.7111736031486
ABCC8	7.5239199368295	6.58082521893258	8.46701465472641	1.16025542412295	15.7647454809149	1.55436394741498e-33	8.17644010213638e-31	65.4158783128679
UGT8	-5.49481610837496	-6.20322271344001	-4.78640950330992	-0.683496714076959	-15.3274063537729	2.09215825948342e-32	1.06719090854195e-29	62.7850290956188
LOC145837	5.76608432694628	5.02011645944352	6.51205219444904	1.00505800456384	15.274217808532	2.87364066726271e-32	1.42270568682451e-29	62.5547813831047
C9orf152	4.63157195768876	4.0318375453367	5.23130637004081	3.9355766804934	15.2604576219425	3.11967932017113e-32	1.50038748561259e-29	62.7085300931354
CHODL	-4.66176775767991	-5.26703323580287	-4.05650227955696	-1.27710010956707	-15.2195860370981	3.98222157893678e-32	1.86202043995119e-29	61.9894343964947
PSAT1	-4.73464971506619	-5.35059113704989	-4.11870829308249	1.9148873000364	-15.1896075464532	4.76350574499276e-32	2.1305331869699e-29	62.2689309410264
YBX1	-1.60450072269248	-1.81325604527642	-1.39574540010855	8.11828248300673	-15.1879958613138	4.8096157015895e-32	2.1305331869699e-29	62.1726290423039
SFRS13B	-3.97810241673498	-4.49639185868282	-3.45981297478714	-0.779264677053103	-15.1670706036667	5.45052234338938e-32	2.35252929759676e-29	61.7852165217454
TFF3	8.5337942408974	7.41919989840321	9.64838858339159	5.57767220501153	15.1294605579548	6.82537045344299e-32	2.87228652107015e-29	61.9315379719027
TTC36	5.81846693916819	5.05523516388357	6.58169871445282	0.000927386672971054	15.0643444924289	1.00782467731067e-31	4.13773482760257e-29	61.1610227934929
FBP1	3.25613140236798	2.82673385493516	3.68552894980079	5.95741746627437	14.9844384991731	1.62668907621506e-31	6.5195374333162e-29	61.0153298047618
FAM171A1	-2.84443488700803	-3.22261569313197	-2.4662540808841	3.96610546803661	-14.8625943244788	3.3790969113499e-31	1.32279856531983e-28	60.3278220557045
ARSG	3.06268200126111	2.65202808437558	3.47333591814664	3.8670891526663	14.7375077744613	7.16636377998888e-31	2.74162276155802e-28	59.597053462932
KCNK5	-3.95535899956988	-4.48900106607506	-3.4217169330647	2.73794153390878	-14.6465035301877	1.23930759436699e-30	4.63583660799544e-28	59.0588698615348
RND1	3.47640362130475	3.00495502969069	3.94785221291882	3.37312763616302	14.5711544443312	1.95142086886877e-30	7.14092771427564e-28	58.6092135037286
RARA	1.97996314596821	1.71046455024109	2.24946174169533	6.62691400987643	14.5177298450435	2.69318451586326e-30	9.64561169266517e-28	58.1763808145876
LMX1B	2.8621212381418	2.47046077749313	3.25378169879047	5.65902641020352	14.4403063359819	4.29732928504481e-30	1.50701966364915e-27	57.7541332753797
A2ML1	-8.38357370507783	-9.54202401816895	-7.22512339198672	-1.56798899142618	-14.3004559989025	1.0005556991451e-29	3.37313600650436e-27	56.8599576044564
TTLL4	-1.90824319667491	-2.17193030429204	-1.64455608905778	4.71334436715415	-14.300227172846	1.00194142651469e-29	3.37313600650436e-27	56.9196185688821
MEMO1	-1.34716822516447	-1.53383437855536	-1.16050207177357	4.47429480948067	-14.2611439366601	1.26919057151979e-29	4.18907546870442e-27	56.6964154935018
GREB1	4.61913942993013	3.9788639327404	5.25941492711987	5.95440017009063	14.2558231846416	1.31071963259041e-29	4.24295068757585e-27	56.6627165939103
C12orf72	1.55083136041163	1.33570628953978	1.76595643128348	1.85740878732109	14.2453019327104	1.3968901119388e-29	4.43657570835203e-27	56.5987792480844
POU4F1	-5.31194168245822	-6.05189585614581	-4.57198750877063	-4.32957761424123	-14.1855632588281	2.00554904025938e-29	6.25174203605298e-27	55.3238143304011
GABBR2	-6.72751029182521	-7.66620225524147	-5.78881832840895	-3.13122771793812	-14.1621562501544	2.31103408174566e-29	7.0730248541863e-27	55.5662127042864
SLC22A5	2.03597216029586	1.7511601128104	2.32078420778133	4.73287806799241	14.1257524069883	2.88137684443122e-29	8.66111007541264e-27	55.8892895086788
AR	5.91985067579043	5.0913780095622	6.74832334201866	3.82428885943453	14.1198693494871	2.98596330372295e-29	8.81802110378394e-27	55.9067193937377
C4A	4.43464134252496	3.80200077981411	5.0672819052358	9.73192758490481	13.8515883998554	1.52138955242243e-28	4.36897173081267e-26	54.1679993091139
C1orf64	8.92280358104805	7.64978871806673	10.1958184440294	2.47484673657685	13.8505165044191	1.53133328650833e-28	4.36897173081267e-26	54.238205140468
ANXA9	3.97533783477792	3.40550247585873	4.5451731936971	4.44112002731001	13.7855074834296	2.27362102990862e-28	6.31646897178831e-26	53.8632813294906
ART3	-7.33897713007633	-8.39104987920656	-6.2869043809461	-3.01514968824371	-13.7844001931648	2.28898358747156e-28	6.31646897178831e-26	53.4032898742648
UBXN2A	-1.25026357287878	-1.43044315427748	-1.07008399148009	3.92418462996943	-13.7117887854892	3.56035027782186e-28	9.57029590637948e-26	53.4139501303152
C4orf34	2.08438363017419	1.78397462479924	2.38479263554915	6.03751660087235	13.7108006636411	3.58182523674869e-28	9.57029590637948e-26	53.3248711582684
MYB	2.92030662403999	2.4975475778112	3.34306567026877	6.13441258515015	13.650031531421	5.18521006227136e-28	1.36379126528459e-25	52.9666407636148
C17orf28	2.44662467684883	2.09115407750154	2.80209527619613	6.85272294708832	13.6007161153686	7.00183014387804e-28	1.81325856633691e-25	52.6347660336493
ZG16B	3.64804610251187	3.11673943200521	4.17935277301853	5.40279171423262	13.5679164361813	8.55070665395992e-28	2.18081886524405e-25	52.514326645003
INPP4B	3.17417818427495	2.71168900016695	3.63666736838295	4.54669506123125	13.5621277914755	8.85771616239362e-28	2.22540203226227e-25	52.5052145371593
ATP6V1C2	-2.95766886404712	-3.38984625702506	-2.52549147106918	2.04059968281102	-13.5233913002782	1.12165184244334e-27	2.77658315644835e-25	52.3144621954336
SUOX	1.40778934364567	1.201378023533	1.61420066375834	5.21321574631983	13.4772806609042	1.48578995982588e-27	3.62468150634043e-25	51.9298713381898
MAPT	4.70127419923793	4.01182288214906	5.39072551632679	6.0233052780933	13.4744202030153	1.51193577523173e-27	3.63577355778224e-25	51.9379950667546
CMBL	2.72818990866166	2.32780592883507	3.12857388848824	5.97318028758054	13.4646793805143	1.6044760714134e-27	3.80396418452138e-25	51.841713619987
SLC15A1	-6.55471396117677	-7.51767805766527	-5.59174986468828	-2.98227159037063	-13.4506031661082	1.74831479775373e-27	4.08741430424841e-25	51.4256514172198
FLJ45983	4.96631318372508	4.23261960700719	5.70000676044296	2.84376762261358	13.3757301019414	2.76070952890192e-27	6.36589363013782e-25	51.4269665377838
BCAS1	5.7532063888262	4.90142201573406	6.60499076191834	3.73362246323122	13.3468382202146	3.29314065332093e-27	7.4910049482907e-25	51.2472260894529
C11orf86	-5.06067865476041	-5.8121817766259	-4.30917553289493	-5.06767571897482	-13.3068751620003	4.20316072360616e-27	9.32253142770791e-25	50.0853155098228
AMY1A	-5.9061322207361	-6.7831990764692	-5.029065365003	-2.62218481253888	-13.3066451731237	4.20906783405098e-27	9.32253142770791e-25	50.6280295712239
CXorf61	-6.73342680918163	-7.73801812000673	-5.72883549835653	-5.2631852503414	-13.2447826815616	6.14160028507572e-27	1.34261763115168e-24	49.8698659491745
INPP5J	3.55792971195311	3.02629970576169	4.08955971814453	4.23420174369645	13.2247048844252	6.94312863317225e-27	1.49838056772037e-24	50.4753673482309
PPP1R14C	-5.43623796328663	-6.24960217908265	-4.6228737474906	0.34022290056071	-13.2072229132138	7.7258679098254e-27	1.64619663957077e-24	50.3761362262564
GFRA1	6.44352344188844	5.47909680240044	7.40795008137643	7.10540747725503	13.2023829355839	7.95778424623683e-27	1.67441727771131e-24	50.3030742257383
GPN1	-0.950514210519969	-1.09286865244528	-0.808159768594659	5.59253780790212	-13.1942801620022	8.36174987373222e-27	1.73769550153746e-24	50.1720704601863
CCDC125	1.9944740896579	1.69552247311289	2.2934257062029	4.80063828122382	13.1833445631455	8.93969023022785e-27	1.82821723758939e-24	50.1775837808787
MTHFD1L	-2.26843594716852	-2.60848688888411	-1.92838500545292	3.85569962144488	-13.1819800301912	9.01455656864014e-27	1.82821723758939e-24	50.2074978924496
CTSL2	-3.31778015841028	-3.81646118624242	-2.81909913057814	2.12978054064952	-13.14688518408	1.11714217705188e-26	2.23867312694219e-24	50.0454112330397
ROPN1B	-5.85490068035438	-6.73640198842008	-4.97339937228867	-1.3260772608061	-13.1248600641797	1.2781686277062e-26	2.53122500119747e-24	49.7185235226341
KRT16	-6.38488950527119	-7.3478773532849	-5.42190165725748	1.45003866021662	-13.1017916737442	1.47179321284223e-26	2.84939141935052e-24	49.7726320869503
CCNE1	-3.20506815877063	-3.68846963656848	-2.72166668097278	2.03377156871723	-13.1016926250621	1.47268492534602e-26	2.84939141935052e-24	49.7723159519097
CACNA2D2	4.16296287458637	3.53489815795745	4.7910275912153	3.37356462968255	13.097736588997	1.50874587858704e-26	2.8859908379836e-24	49.7392037818287
TMBIM6	1.09893923680652	0.932696649834645	1.2651818237784	10.2553324015242	13.0625961983736	1.87047419971775e-26	3.53771822515157e-24	49.3655308327902
FAM47E	3.07178347531709	2.6069047137344	3.53666223689977	1.95303770366709	13.0571683837682	1.93361599619711e-26	3.61650645155399e-24	49.489206111997
CDCA7	-3.4834853493314	-4.01230999132456	-2.95466070733824	2.03444121085252	-13.0166855869843	2.47698914006083e-26	4.58188551589494e-24	49.25838259713
ANP32E	-1.95663563099078	-2.25384223437406	-1.65942902760751	6.2420111446317	-13.0091707491511	2.59353564152954e-26	4.74532450585508e-24	49.0256657835816
FSIP1	5.97685066811267	5.06842340613249	6.88527793009286	2.74716898183129	13.0011077197578	2.72469532630622e-26	4.93169854061425e-24	49.1637145669933
SYTL4	2.21131349378067	1.87477048422228	2.54785650333906	4.93628767452389	12.9839804356116	3.0257514803108e-26	5.4183483689438e-24	48.9595520372348
AFF3	4.99826729065152	4.23714272365144	5.75939185765159	5.8212793944596	12.9766277785022	3.16500294574553e-26	5.60805206165626e-24	48.9319789217195
FZD9	-4.65637488797995	-5.36556570405863	-3.94718407190127	-2.03687356809667	-12.9742704309662	3.21099271450827e-26	5.63027503784559e-24	48.6768968893029
MICALL1	-1.69641051774978	-1.95540539869359	-1.43741563680597	5.03297704155192	-12.9430874829919	3.88618156219791e-26	6.74392724087397e-24	48.6745801302355
DYNLRB2	3.64467237206227	3.08723258461877	4.20211215950576	-0.265957776234568	12.9198848141329	4.47924320235281e-26	7.69378579849029e-24	48.441256800066
ESYT3	-3.80936609774611	-4.39241890025914	-3.22631329523309	-0.9618209036716	-12.9104962440981	4.74422461951834e-26	8.06661949700527e-24	48.4062877451614
FAM136A	-1.16742507721231	-1.346290068151	-0.988560086273619	5.48218379772774	-12.8973885490765	5.14062174615198e-26	8.65320858529763e-24	48.3673636735417
TMEM63C	3.44537191924586	2.91724190959153	3.97350192890019	4.24770070814623	12.8912008332923	5.33910209318691e-26	8.89832728065498e-24	48.4459553772528
ZMYND10	3.85795663475077	3.26563965967431	4.45027360982723	3.05494709401107	12.8706734880683	6.05413863196593e-26	9.99110937175318e-24	48.3709910618263
BCAM	2.38134190433802	2.01524386517687	2.74743994349916	8.00820558188788	12.8535313749334	6.72417849978313e-26	1.0989135600665e-23	48.0728240306217
RERG	3.14496885787871	2.65840886924361	3.63152884651381	5.67434902112722	12.7725634016536	1.10411177249024e-25	1.78706860253155e-23	47.6459387280018
CAPN13	4.75134113344602	4.01585280518264	5.48682946170941	3.73235632660129	12.7655208135679	1.1527897552422e-25	1.848086661904e-23	47.716597643289
KCMF1	-0.88861918452841	-1.02623623202727	-0.751002137029546	6.08664660206135	-12.7597321978649	1.19440436653532e-25	1.89269483511825e-23	47.5044574650966
CASC1	3.34040345968309	2.82303995165623	3.85776696770996	0.807671610722473	12.7585477272793	1.20310311505764e-25	1.89269483511825e-23	47.6212763357682
ATL2	-1.38404894751404	-1.59858343099965	-1.16951446402844	5.93198430615172	-12.7483051627361	1.28101875248583e-25	1.99661006116611e-23	47.4402767061687
CXXC5	2.12737247168394	1.79726618692124	2.45747875644665	5.14509685058902	12.7346746184349	1.3925939782309e-25	2.15059948950098e-23	47.4234995244236
LEMD1	-5.94954811217961	-6.87733713938465	-5.02175908497457	-3.89275559648606	-12.6716409719058	2.04915967751873e-25	3.13577316833389e-23	46.6144415376075
ERGIC1	1.46716605725162	1.23834146942334	1.69599064507989	8.38850260899187	12.6699439256873	2.0705834849114e-25	3.14001187401023e-23	46.947838424546
RBM28	-0.96425453623329	-1.114913506304	-0.813595566162579	4.50821782990263	-12.6472122444728	2.38012325708938e-25	3.57719774880227e-23	46.9091059894721
DNAH7	3.46816978630818	2.92618615493656	4.0101534176798	0.843636015914976	12.6448094884272	2.41543505312427e-25	3.59814320789742e-23	46.94235025366
TMBIM4	1.51721987259729	1.27932580798418	1.75511393721041	6.442462412998	12.6026834025657	3.12709094624323e-25	4.61739665772915e-23	46.5560902793399
NCK2	-1.33807697602935	-1.5481699457733	-1.1279840062854	5.42905397488777	-12.5854192764601	3.47620058377731e-25	5.08825081971508e-23	46.4682563535689
PDSS1	-1.68912464948039	-1.95533632908622	-1.42291296987456	2.31297602000434	-12.5381281566857	4.6454463996952e-25	6.74110338328183e-23	46.3616636388871
MAP3K12	1.86035634016629	1.56656104691992	2.15415163341266	3.324408889879	12.5126534145082	5.43084438449705e-25	7.81345329266998e-23	46.1844820120136
WDR19	1.41310773326044	1.18927819387798	1.6369372726429	4.56594553185505	12.4754431815911	6.82289331441573e-25	9.73303077640339e-23	45.8765032079092
TSC22D3	1.79387529937517	1.50948284314695	2.07826775560339	7.16325083644664	12.4644261341273	7.29981888547037e-25	1.03258698570691e-22	45.6991826649294
SLC43A3	-1.73811675949036	-2.01412218163819	-1.46211133734254	5.69755125074708	-12.4439839925579	8.27487287895474e-25	1.16075779309538e-22	45.5995982064251
TTC8	1.46515988627623	1.23239225616516	1.69792751638729	4.94277567410749	12.4382861973205	8.5691625929867e-25	1.19210507378302e-22	45.6228693589085
CTPS	-1.49473735206277	-1.7329606692503	-1.25651403487524	5.06654854547272	-12.3987736016293	1.09192539063552e-24	1.50658853283342e-22	45.3513164533708
CENPA	-2.64948299427409	-3.07232514795564	-2.22664084059254	2.49891355946136	-12.3817197713926	1.21234003589376e-24	1.65913169302436e-22	45.4054016922755
CLCN4	-2.96505127074061	-3.43847904294798	-2.49162349853325	1.88949796601705	-12.3758941725947	1.2564472888445e-24	1.70562719460641e-22	45.379266723951
SLC7A13	4.15360958198959	3.49017704828921	4.81704211568996	-2.98874751253856	12.3716327143689	1.28972536335848e-24	1.73679576331306e-22	44.8330215590308
SCUBE2	5.86054553812714	4.92253411026087	6.79855696599342	6.96399563987988	12.3460498417923	1.50888051913559e-24	2.01579252211185e-22	45.0744634938877
SFT2D2	-1.73323148310583	-2.01109398119891	-1.45536898501275	2.27515477466392	-12.3260732345879	1.7056062853206e-24	2.26066697644108e-22	45.0777880620293
VAV3	2.8590693700709	2.40057430278028	3.31756443736152	7.07843162406335	12.3221966561764	1.7466562626393e-24	2.2969894428912e-22	44.8576064415652
RABEP1	1.8407147232739	1.54531526578785	2.13611418075996	7.43236311420773	12.3133125460441	1.84449858627805e-24	2.40685617851306e-22	44.7735859631929
TRIM3	1.98146163187827	1.66328013296385	2.2996431307927	4.37061808070603	12.3057717185358	1.93183690674014e-24	2.50143158855052e-22	44.8615220969881
CLSTN2	4.52443886773074	3.79780062825128	5.25107710721021	5.19240011936556	12.3039508075133	1.95353960185797e-24	2.51022382580727e-22	44.8484790202943
C5orf30	1.98394810720096	1.66490605198989	2.30299016241203	5.26239065234565	12.2879796825514	2.15465352121629e-24	2.74767293353287e-22	44.6888904457432
DNAJC12	4.80940680169613	4.03589806023879	5.58291554315347	4.31976698080545	12.2863928548211	2.17573313066787e-24	2.75369291643099e-22	44.7773601364252
C5orf36	2.07770228537154	1.74346257859723	2.41194199214585	1.80460302793358	12.2835355289705	2.21421169322017e-24	2.7814795098489e-22	44.8119656520945
SERBP1	-0.895408010227982	-1.03963431461914	-0.751181705836821	8.31074544756757	-12.2680238118441	2.43529538841833e-24	3.03654276098116e-22	44.4910294366242
KCNK15	4.5103106641654	3.78127610280685	5.23934522552396	2.20389821327753	12.2252134226746	3.16686170120498e-24	3.91968992767525e-22	44.4673697819503
C9orf98	2.50606996976348	2.10027058064935	2.91186935887761	1.88997545458021	12.203373790062	3.62099515404851e-24	4.44906652759844e-22	44.3294634344529
RGMA	-3.18110716307987	-3.69635745591136	-2.66585687024839	3.10065787540523	-12.1999531466192	3.69780070807046e-24	4.51051299412682e-22	44.2784297000884
KDM4B	1.84972229264227	1.5495261769524	2.14991840833213	7.01798065733536	12.1758579468357	4.28701422517559e-24	5.1916050685166e-22	43.9410605874157
P4HTM	1.94552673228947	1.62932705120948	2.26172641336946	5.15871579958798	12.158328843417	4.77385538442631e-24	5.73987912043201e-22	43.9082001097713
APBB2	1.75504486302633	1.4693740969493	2.04071562910335	6.79159394963437	12.1400516252867	5.34045196217393e-24	6.37559062973572e-22	43.7245626464973
KIAA1324	3.02275314071508	2.53065219272063	3.51485408870953	8.17419658315514	12.1379848164634	5.40861535494502e-24	6.41149452604152e-22	43.7159640301633
NUBPL	1.23663533459315	1.03516113091504	1.43810953827126	3.91952753101282	12.128869242262	5.71978051895523e-24	6.73294164164848e-22	43.8154995201738
OCA2	-5.68551664652751	-6.61219241881792	-4.7588408742371	-3.99642767134308	-12.1238411438588	5.89901435051322e-24	6.89570198348534e-22	43.3272234043006
C16orf57	-1.28434024519879	-1.4937049661002	-1.07497552429739	5.22381366682716	-12.1220117176011	5.96561138555321e-24	6.92545768641497e-22	43.6546325112421
RUNDC1	1.45895024717704	1.22073667706732	1.69716381728676	5.72091353399078	12.1024164870452	6.72786817340339e-24	7.75686335362324e-22	43.5261007739037
IVD	1.57065740569393	1.3139873668746	1.82732744451325	6.44619326135373	12.0921743545211	7.16429722097212e-24	8.20385136874991e-22	43.4349807204929
ABAT	3.64436655539153	3.04725178616637	4.24148132461668	5.47447620339496	12.060417706039	8.70579198313056e-24	9.90166192243491e-22	43.3303768279859
FLJ36031	-1.55471592467768	-1.80983512175787	-1.29959672759749	3.82402333645396	-12.0422050533458	9.73525018070326e-24	1.09982192142133e-21	43.278505759397
C9orf170	-3.5946225227283	-4.18501132243075	-3.00423372302584	-3.83775390651523	-12.031320380975	1.0407731140016e-23	1.1679555885326e-21	42.7305394270155
REEP6	4.24935203862715	3.55122023361186	4.94748384364244	5.08998389523481	12.0277224697784	1.06400808257555e-23	1.18612238768174e-21	43.1643376448393
BBS4	1.50236150039278	1.2554584052499	1.74926459553566	4.43081021479007	12.0239184499098	1.08913845510033e-23	1.20614918517789e-21	43.138545017199
FAM174B	2.0140312050148	1.68227269706898	2.34578971296062	5.95966729823066	11.9961596378748	1.29140807075988e-23	1.42080209510464e-21	42.8762095397417
RAB5B	0.805025024943332	0.672261233900283	0.93778881598638	7.9276270061047	11.981959474839	1.40899152632943e-23	1.53176048711556e-21	42.739170909285
RALGPS2	2.39273028888858	1.99811839819519	2.78734217958197	5.71851850856071	11.9817896288636	1.41046085369757e-23	1.53176048711556e-21	42.8063930940374
KIAA1370	2.37652736287295	1.98454241830145	2.76851230744445	6.22034307975794	11.9804061841279	1.42248615936755e-23	1.53491727696372e-21	42.7826878480808
KLHDC2	1.12780080525605	0.941665957827292	1.3139356526848	5.60876275241673	11.9729956077177	1.48866819988422e-23	1.59609884131536e-21	42.7393214378053
LPO	-4.62378033240578	-5.38775886893919	-3.85980179587236	-3.7113785869503	-11.9595309287299	1.61689698864293e-23	1.72260930441939e-21	42.3636762824262
EFCAB6	2.99973301765259	2.50206886630478	3.49739716900041	0.610307294889632	11.9108938944477	2.17922262381379e-23	2.30709776268286e-21	42.511299209845
FAM174A	1.55609569471397	1.29784049692752	1.81435089250042	4.14114117767102	11.9065335619869	2.23831806321769e-23	2.35485049738396e-21	42.4417395911585
EML4	-1.1983371214284	-1.39747150086003	-0.999202741996775	6.15826109036533	-11.8913422341816	2.45700499629728e-23	2.56886739768149e-21	42.1982996608797
C10orf32	1.36591165728833	1.13808371115391	1.59373960342274	4.95242697394296	11.847145628542	3.22243740319101e-23	3.34835116098236e-21	42.0082779674651
RARRES1	-3.78829327103189	-4.42064432426857	-3.15594221779521	4.04003091019388	-11.8381395935741	3.40552199280229e-23	3.5129273601472e-21	42.0134477204785
TP53INP1	1.89614468100419	1.57961388415222	2.21267547785616	6.59498123060678	11.8373260892074	3.42256334024916e-23	3.5129273601472e-21	41.880160658503
DNAL1	1.33981541947263	1.11583547935339	1.56379535959186	4.56458934578975	11.8204485743392	3.79599559175313e-23	3.87260568460488e-21	41.8808947788677
LONRF2	3.69974492997322	3.0805264651151	4.31896339483134	4.41454129896292	11.8066311535268	4.13185167650243e-23	4.18984694400997e-21	41.8416766204619
C19orf51	3.90636274615678	3.25235358863656	4.56037190367699	1.54046016588647	11.8028489895399	4.22885552734847e-23	4.26253443663813e-21	41.9044591953685
LY6D	-6.71964714870433	-7.8456451778337	-5.59364911957496	-2.46739665511011	-11.7925288878948	4.50528165830668e-23	4.51413131870693e-21	41.7025404326818
PCSK4	3.40094327886171	2.83061260866704	3.97127394905638	1.06909066063773	11.7834041202827	4.76469985628552e-23	4.74581021780202e-21	41.7704033018365
MAGED2	2.14166420944948	1.78235413609619	2.50097428280277	9.35228651972766	11.7782317836175	4.91832748624356e-23	4.87001215152576e-21	41.5103914225805
ZDHHC18	-1.00562677354076	-1.17471431472621	-0.836539232355305	5.26213144953069	-11.7523124454627	5.76605247823113e-23	5.6760211325184e-21	41.3927701901416
SUV39H2	-1.43945216456383	-1.68221614715442	-1.19668818197323	3.52661498955276	-11.7168560416703	7.16712838414753e-23	7.01420186571834e-21	41.3151872522125
KIAA1804	-2.55666972534771	-2.98822949780566	-2.12510995288975	2.54996350679463	-11.7066270776082	7.63127149035222e-23	7.42527127150861e-21	41.2981278162853
LDHB	-2.57440283926156	-3.00916706582625	-2.13963861269687	6.95754301168628	-11.7009416630787	7.90211877356221e-23	7.62129787356054e-21	41.0277910715545
GMPR2	1.00193014493554	0.832708789128735	1.17115150074234	6.01183420177067	11.6998524164107	7.95509588086633e-23	7.62129787356054e-21	41.0501349864123
HPDL	-3.63851423343146	-4.25305690135472	-3.02397156550819	-0.321795744542915	-11.6995766526106	7.96856428293622e-23	7.62129787356054e-21	41.2348299054513
RPH3AL	2.4903757725533	2.06857253097825	2.91217901412835	2.91624728689228	11.6668356540625	9.74096227180184e-23	9.263820221539e-21	41.0694147651013
LOC100130148	5.27041609302365	4.37609564599121	6.1647365400561	-1.88699140298274	11.6452778182714	1.1118029144789e-22	1.05140328423726e-20	40.705126002362
ASB8	0.811850300188113	0.67400220291077	0.949698397465456	5.32745073010324	11.6378643337286	1.16352344787005e-22	1.0941670501674e-20	40.7017572414376
ABCA13	-5.03689000573704	-5.89242847364917	-4.18135153782492	-2.88480116277433	-11.633785060886	1.19300137287933e-22	1.11565511720432e-20	40.5975294121046
