logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
FOXA1	6.71487975523141	6.36470581829238	7.06505369217044	7.3650685841337	37.8924365142856	2.81421367511384e-78	4.73716587931913e-74	167.395785644789
ESR1	6.88256086086878	6.37615227264549	7.38896944909207	7.82199057747808	26.8563574506611	6.66763495162912e-59	5.61181495703865e-55	123.610282399586
SPDEF	5.68587165793783	5.23303620705388	6.13870710882177	6.43949682444846	24.8115984598146	1.02256331204081e-54	5.73760274386101e-51	114.073737772919
MLPH	5.44700905700661	4.99981374282933	5.89420437118389	7.33958782653281	24.0690508040629	3.82726176716153e-53	1.61060743316575e-49	110.533902700665
XBP1	3.38970885565713	3.10001428508227	3.67940342623199	10.5973349095678	23.1217207991556	4.28849933571109e-51	1.44376618636049e-47	105.883236814322
CT62	6.13678836911467	5.57556679944063	6.69800993878871	0.182837845262426	21.6075189723918	1.01999145890565e-47	2.86158603795981e-44	96.7123610264723
SLC7A8	3.66364303540587	3.32527108779569	4.00201498301606	6.77816338657326	21.395227620523	3.10421831012085e-47	7.32082942942336e-44	97.0375791745344
PRR15	5.30703169193274	4.81637978308564	5.79768360077984	4.18066899569842	21.373532150922	3.47927496200243e-47	7.32082942942336e-44	96.8018474508653
DNALI1	5.59293035253314	5.06030936245241	6.12555134261387	4.50256921643515	20.7500546136634	9.46430771860701e-46	1.77014102030346e-42	93.5546054650823
AGR2	7.50018974841669	6.78478905440297	8.21559044243041	7.497147059867	20.7167203745896	1.13081249466609e-45	1.90349667227144e-42	93.4315027449455
GATA3	4.49469006042568	4.05893942804136	4.93044069281	8.60808534293591	20.3826118383856	6.78503258091698e-45	1.03829503122341e-41	91.6790668234796
CA12	5.05949039291523	4.54965267897984	5.56932810685063	8.11880985150789	19.6097893259932	4.51765031801455e-43	6.33713398359491e-40	87.5010825989414
FOXC1	-4.19135378818711	-4.61931021610054	-3.76339736027368	3.33189131013032	-19.3532041283962	1.85130411191055e-42	2.39715400890695e-39	86.0450153080512
B3GNT5	-3.23744925870678	-3.56939648231408	-2.90550203509949	2.92986216742743	-19.2722331167691	2.89418024254172e-42	3.47983828733606e-39	85.5611890849972
SLC44A4	6.37629022521013	5.72081140027628	7.03176905014398	5.80690655704389	19.2223960184262	3.81185700579765e-42	4.27766593190612e-39	85.3625673799765
AGR3	9.20695077840226	8.2488546895684	10.1650468672361	4.99401325462482	18.9891211180607	1.38925851867681e-41	1.46158679030542e-38	83.9580085334831
TBC1D9	4.09785657776765	3.66939324454197	4.52631991099333	8.20113432915783	18.899103470068	2.29242774554841e-41	2.26990801416567e-38	83.5880050614873
