logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
ANXA9	4.08775169084228	3.53359815564795	4.64190522603661	4.44112002731001	14.5749004434485	1.4158939407037e-30	4.76674854077307e-28	58.9075377069428
C12orf72	1.50757547559034	1.30249014242008	1.7126608087606	1.85740878732109	14.5243150121883	1.92545857425585e-30	6.35514591773503e-28	58.5570982844587
UGT8	-5.20662378557088	-5.91829614475066	-4.4949514263911	-0.683496714076959	-14.4553062732208	2.92948703683612e-30	9.48308755597354e-28	57.9320582681785
MAPT	4.79773154987908	4.13900731143995	5.45645578831821	6.0233052780933	14.3907523054374	4.33929037926601e-30	1.35435518463371e-27	57.7540457201577
C4orf34	2.06205604278918	1.7789335344591	2.34517855111927	6.03751660087235	14.3905457766465	4.34475019130401e-30	1.35435518463371e-27	57.699669032709
C17orf28	2.43980301314651	2.10395312371237	2.77565290258066	6.85272294708832	14.3535971092248	5.44107131409242e-30	1.66526460782032e-27	57.4610143216486
KCNK5	-3.88649794128756	-4.42536470338832	-3.34763117918681	2.73794153390878	-14.2504390026505	1.02030137315657e-29	3.06691660970438e-27	56.9651194688767
CMBL	2.71188881095249	2.3353434736497	3.08843414825529	5.97318028758054	14.2300295931477	1.15554386709403e-29	3.41250349382347e-27	56.7416954090686
AR	5.92773161552114	5.10023171002476	6.75523152101751	3.82428885943453	14.1537583852191	1.84039469008658e-29	5.34126962383231e-27	56.3817354018298
C11orf86	-5.17000237135403	-5.89476774250655	-4.44523700020152	-5.06767571897482	-14.0943322700885	2.64550843690579e-29	7.54777008787036e-27	54.8056494557633
SUOX	1.38682607455172	1.19197964317891	1.58167250592453	5.21321574631983	14.0630894977811	3.20187533768861e-29	8.98286125988539e-27	55.7349100111999
MEMO1	-1.32448042496563	-1.51062187777591	-1.13833897215534	4.47429480948067	-14.0589744951985	3.28340607872977e-29	9.06058598741937e-27	55.745734544123
PSAT1	-4.52962473069705	-5.1688170538878	-3.89043240750631	1.9148873000364	-14.0017355529839	4.65875587817887e-29	1.25666442138265e-26	55.450943711648
POU4F1	-5.26489549710422	-6.00792713916849	-4.52186385503995	-4.32957761424123	-14.0001808204102	4.70325304741324e-29	1.25666442138265e-26	54.4059397360876
PPP1R14C	-5.33217140542693	-6.08592278438069	-4.57842002647317	0.34022290056071	-13.9774253063296	5.40542740065266e-29	1.42171186617478e-26	55.235522918054
CCDC125	1.99089495668303	1.70919883996091	2.27259107340515	4.80063828122382	13.9642843788786	5.85780042895257e-29	1.51699007108552e-26	55.1647183372383
ZG16B	3.63481334674904	3.11967438938157	4.1499523041165	5.40279171423262	13.9414812069273	6.73464063750245e-29	1.7176394825921e-26	55.0256342905661
AFF3	5.28522500822864	4.53018343752623	6.04026657893105	5.8212793944596	13.8306890076823	1.3269052484216e-28	3.33370090248966e-26	54.3721259882067
FLJ45983	4.96270485233884	4.25178951025196	5.67362019442572	2.84376762261358	13.7927783953651	1.67375011613673e-28	4.14326995660728e-26	54.1926256571828
BCAS1	5.86693006179885	5.02583076820964	6.70802935538805	3.73362246323122	13.7820823673411	1.7871080357054e-28	4.35976660362738e-26	54.1310521215221
AMY1A	-6.07606712343943	-6.95412321294975	-5.19801103392911	-2.62218481253888	-13.6726123894318	3.49612896996531e-28	8.40719127877515e-26	52.9420558653126
INPP5J	3.52095013292251	3.00921101255837	4.03268925328665	4.23420174369645	13.5944754304565	5.64646762516209e-28	1.3386899934416e-25	52.9616299786803
FAM171A1	-2.71021374864931	-3.10509628027663	-2.315331217022	3.96610546803661	-13.5608471212799	6.94094124191542e-28	1.62273422118281e-25	52.7470180242727
VAV3	3.01766958060944	2.57738371391378	3.4579554473051	7.07843162406335	13.5421661694883	7.78441454698651e-28	1.79500068588252e-25	52.5226183680876
UBXN2A	-1.22794949404294	-1.40717103689086	-1.04872795119502	3.92418462996943	-13.5375941809754	8.00602674684844e-28	1.82115470580675e-25	52.6045446341592
SLC15A1	-6.48755216468507	-7.43636834219447	-5.53873598717568	-2.98227159037063	-13.5098329889444	9.49403901639432e-28	2.10355909580472e-25	51.9188074271203
GFRA1	6.40915932492413	5.47180418892328	7.34651446092498	7.10540747725503	13.5097745833858	9.49744497600897e-28	2.10355909580472e-25	52.4108881478361
SYTL4	2.17918163081667	1.86025734671681	2.49810591491653	4.93628767452389	13.5007233584682	1.00403360794447e-27	2.19492178214667e-25	52.3303584132325
C4A	4.34005700586671	3.70453498769894	4.97557902403449	9.73192758490481	13.4932333329437	1.05130073792264e-27	2.26878786172458e-25	52.2299084154478
FAM47E	3.05104680679465	2.60407727065584	3.49801634293346	1.95303770366709	13.4872107665452	1.09091840106482e-27	2.32448473988913e-25	52.3211188012013
RERG	3.10793124207213	2.6501515029649	3.56571098117936	5.67434902112722	13.4142387906331	1.70806764995292e-27	3.59398784395719e-25	51.7824390271672
DYNLRB2	3.59125990784481	3.05966579892644	4.12285401676317	-0.265957776234568	13.3480515703211	2.56569539137195e-27	5.33189512629186e-25	51.2575867478917
WDR19	1.41678462040093	1.20689690124026	1.6266723395616	4.56594553185505	13.337302576645	2.74100357181212e-27	5.58170421519922e-25	51.3449803325045
GPN1	-0.93597304124569	-1.07463845852061	-0.797307623970774	5.59253780790212	-13.3366383726004	2.75222152831661e-27	5.58170421519922e-25	51.2706930720006
CXorf61	-6.96706554710525	-8.00171666156556	-5.93241443264495	-5.2631852503414	-13.3047636733925	3.34823425801087e-27	6.70962229346392e-25	50.3423050616865
FZD9	-4.62500020645849	-5.31228696417803	-3.93771344873896	-2.03687356809667	-13.2961216037806	3.53102434192289e-27	6.9926744408927e-25	50.7572386959532
ATL2	-1.42855468016573	-1.64101346690414	-1.21609589342733	5.93198430615172	-13.285361292843	3.77264359976227e-27	7.32353830533923e-25	50.9454299199967
SCUBE2	5.88379282986429	5.00870280070054	6.75888285902803	6.96399563987988	13.2848249248181	3.78511158180071e-27	7.32353830533923e-25	51.0193612934683
TMBIM4	1.50168902199805	1.2781538490672	1.7252241949289	6.442462412998	13.2734963781183	4.05829964822951e-27	7.75572013166716e-25	50.8657228830311
RBM28	-0.950391312821074	-1.09188058490065	-0.808902040741493	4.50821782990263	-13.2718096387644	4.10063026031234e-27	7.75572013166716e-25	50.9403520101576
TMEM63C	3.41458349522488	2.90519421524448	3.92397277520528	4.24770070814623	13.2446087591739	4.84764538565926e-27	9.06671275297805e-25	50.823845027595
KDM4B	1.91270186345535	1.62712762439477	2.19827610251592	7.01798065733536	13.2336441060757	5.18599235983908e-27	9.59294608716167e-25	50.6167187479525
A2ML1	-8.0763740510627	-9.2833352702385	-6.8694128318869	-1.56798899142618	-13.2213044801248	5.59512465157828e-27	1.02372536152193e-24	50.6022662316184
C1orf64	9.03082872216006	7.679286419771	10.3823710245491	2.47484673657685	13.2022867231294	6.28984910076274e-27	1.13846268723806e-24	50.5485776614474
C5orf36	2.05001230887555	1.74278891144939	2.35723570630172	1.80460302793358	13.1841877628843	7.03105733416245e-27	1.25271146853186e-24	50.4789543796462
MTHFD1L	-2.22929266803944	-2.56340644844243	-1.89517888763645	3.85569962144488	-13.183292791142	7.06989779068063e-27	1.25271146853186e-24	50.4480998958041
FSIP1	5.95564016349906	5.06271739031459	6.84856293668352	2.74716898183129	13.1784929581749	7.28189789365245e-27	1.27415928820576e-24	50.4614506057289
NCK2	-1.34187909252116	-1.54308609178061	-1.1406720932617	5.42905397488777	-13.1771503232948	7.34233059798959e-27	1.27415928820576e-24	50.3028033907261
CACNA2D2	4.08054348091285	3.46824857991804	4.69283838190766	3.37356462968255	13.1676588227263	7.78411089212163e-27	1.33704019027636e-24	50.3912788014072
TSC22D3	1.80444561366285	1.53354936936648	2.07534185795923	7.16325083644664	13.1610946083722	8.10511165596898e-27	1.37811459095885e-24	50.1692968825103
SLC7A13	4.22755491388468	3.59183412775408	4.86327570001529	-2.98874751253856	13.1393549220336	9.26588571793437e-27	1.55972654289989e-24	49.5860427340748
TRIM3	1.98268523768756	1.68444554557282	2.28092492980229	4.37061808070603	13.1352858663958	9.50096458147508e-27	1.58346274059376e-24	50.128574719233
TTC8	1.4463401584259	1.22854266957938	1.66413764727243	4.94277567410749	13.1210555715136	1.03710316433014e-26	1.71152525148719e-24	49.9965273424834
MICALL1	-1.6635863893752	-1.91454921816013	-1.41262356059027	5.03297704155192	-13.0974622615318	1.1992827703581e-26	1.95995406538232e-24	49.8395496216447
CXXC5	2.1172554583181	1.79701935236527	2.43749156427094	5.14509685058902	13.0633379794371	1.47979401533275e-26	2.39513198654771e-24	49.6427412006444
C5orf30	2.03717398728025	1.72878622146977	2.34556175309072	5.26239065234565	13.0521537081345	1.58533892630066e-26	2.54152477584944e-24	49.5638385135065
CTSL2	-3.29534872492933	-3.79480016403274	-2.79589728582591	2.12978054064952	-13.0364489780331	1.74638315778247e-26	2.77328940518419e-24	49.5984875011005
ZMYND10	3.77264846027309	3.20060357518367	4.34469334536251	3.05494709401107	13.0306905235414	1.80945160283055e-26	2.84658867574267e-24	49.5613097497522
CAPN13	4.69785039437143	3.98481842180076	5.4108823669421	3.73235632660129	13.0179133461949	1.9576523520219e-26	3.05121870755414e-24	49.4717404949936
ANP32E	-1.89815383241598	-2.18724533293219	-1.60906233189978	6.2420111446317	-12.9732050070932	2.57859108172517e-26	3.98214896134678e-24	49.0239987995587
KCNK15	4.62978806489208	3.92401614742596	5.33555998235819	2.20389821327753	12.961281273177	2.77521775180367e-26	4.24684003782829e-24	49.1364135359188
GABBR2	-6.40736983674242	-7.3852638551644	-5.42947581832043	-3.13122771793812	-12.9461072629655	3.04729154955098e-26	4.62117645527852e-24	48.5390404803964
FLJ36031	-1.57622175871373	-1.81715315415952	-1.33529036326793	3.82402333645396	-12.9263264757411	3.44244281349328e-26	5.1738071321011e-24	48.874270655849
KCMF1	-0.881167665521016	-1.01624870438277	-0.746086626659257	6.08664660206135	-12.8888852904166	4.33620592078499e-26	6.45941188182069e-24	48.5046778750822
FAM136A	-1.15056870845136	-1.32764161679651	-0.973495800106202	5.48218379772774	-12.8384216866434	5.91897276239426e-26	8.73983057099847e-24	48.2208449243909
RABEP1	1.84598332702399	1.5617657069512	2.13020094709678	7.43236311420773	12.8329934864469	6.12046388441686e-26	8.95876248403382e-24	48.1539719775173
TMBIM6	1.05647708345147	0.893516862800861	1.21943730410208	10.2553324015242	12.8094261784772	7.07794389262488e-26	1.02709508228064e-23	48.0354672711921
ABAT	3.66304595197177	3.09628676136746	4.22980514257608	5.47447620339496	12.7701204495942	9.01981653280584e-26	1.29769719398907e-23	47.8561569156208
MAP3K12	1.83342686454417	1.54960265300586	2.11725107608248	3.324408889879	12.7633696911182	9.40336000419436e-26	1.34141321144579e-23	47.9148201591225
LONRF2	3.80052108986404	3.21197025041982	4.38907192930825	4.41454129896292	12.7588156254991	9.67127499986577e-26	1.36803842077933e-23	47.8470704256905
BCAM	2.28549366700843	1.93123972637931	2.63974760763755	8.00820558188788	12.747250797972	1.03864640673191e-25	1.45696124704319e-23	47.6304650494879
ERGIC1	1.42605538385976	1.20493120693454	1.64717956078499	8.38850260899187	12.7424037378666	1.07017345722408e-25	1.4887793227647e-23	47.5983246037116
CASC1	3.23881259100425	2.73605771578179	3.74156746622671	0.807671610722473	12.7286025682179	1.16528509487072e-25	1.60780688540647e-23	47.6533759768672
ESYT3	-3.6657400914724	-4.23513263318549	-3.0963475497593	-0.9618209036716	-12.7204095257068	1.22570243688461e-25	1.67741862764867e-23	47.4658095730276
ART3	-6.90383042944129	-7.97652681202889	-5.83113404685369	-3.01514968824371	-12.7164092974395	1.25632994459268e-25	1.70546789978457e-23	47.2646517898603
KIAA1324	3.00267186893503	2.53591580222068	3.46942793564938	8.17419658315514	12.7106892712444	1.30146013549673e-25	1.75259827686532e-23	47.4131301861525
DNAH7	3.31234257934269	2.79673600063819	3.8279491580472	0.843636015914976	12.6931085948573	1.45057896073717e-25	1.93790441635625e-23	47.4499475709317
ROPN1B	-5.61586079120215	-6.49041556861623	-4.74130601378806	-1.3260772608061	-12.6876302996565	1.50045175974507e-25	1.98874838360541e-23	47.291959137466
LOC100130148	5.42134270501779	4.57469531127784	6.26799009875773	-1.88699140298274	12.6518922344188	1.87067925600824e-25	2.46008936846771e-23	46.8870584117906
RUNDC1	1.44079922449714	1.21558021886667	1.66601823012762	5.72091353399078	12.6400743228811	2.01221160561652e-25	2.62570216723589e-23	47.0005637087692
C9orf98	2.43200912847566	2.05128286043581	2.81273539651552	1.88997545458021	12.6212845206569	2.25962576089036e-25	2.92586772562057e-23	47.0624124840328
P4HTM	1.91036163616428	1.61035590505329	2.21036736727527	5.15871579958798	12.5816394341702	2.88607844539831e-25	3.70850064667097e-23	46.679299117631
RALGPS2	2.35710858962316	1.98504220170166	2.72917497754466	5.71851850856071	12.5172910531257	4.29363018384157e-25	5.47535430943979e-23	46.2609661482952
RPH3AL	2.48515265621139	2.09271617807054	2.87758913435224	2.91624728689228	12.5122352169713	4.42976276374906e-25	5.60648094753292e-23	46.3968653329513
REEP6	4.23221906852351	3.56361501185665	4.90082312519038	5.08998389523481	12.5069188079264	4.57757155283421e-25	5.75031805588495e-23	46.2801460204354
APBB2	1.72651172020468	1.45341370180831	1.99960973860106	6.79159394963437	12.4911429973765	5.04586104082029e-25	6.29162806667615e-23	46.0567965865665
CDCA7	-3.37879947760437	-3.91372105688931	-2.84387789831944	2.03444121085252	-12.4802561314316	5.3966902751598e-25	6.67959466189448e-23	46.2100186017627
NUBPL	1.21215654643428	1.02009239543704	1.40422069743152	3.91952753101282	12.4699180291831	5.75239794316552e-25	7.06789157498578e-23	46.076572561389
CCNE1	-3.10144330730245	-3.59360803447941	-2.6092785801255	2.03377156871723	-12.4510093703531	6.46478077062602e-25	7.88562715303969e-23	46.0317255387619
KLHDC2	1.12092620071103	0.942886288227756	1.29896611319431	5.60876275241673	12.4397269173282	6.93121657227666e-25	8.39375313389446e-23	45.7705905843794
CLSTN2	4.52847172652304	3.80767859546717	5.24926485757891	5.19240011936556	12.413442002363	8.15265939917062e-25	9.80240826187422e-23	45.7093331217434
KIAA1370	2.35374597491757	1.97877352498017	2.72871842485497	6.22034307975794	12.4025626139544	8.71919240038335e-25	1.04092316082023e-22	45.5354683621875
LDHB	-2.60511945762816	-3.02099381797331	-2.18924509728301	6.95754301168628	-12.3770371632969	1.0207846472298e-24	1.21006112442389e-22	45.3514423657669
C2orf55	1.92588325745655	1.6183355009639	2.23343101394921	4.11065313749213	12.3728170870858	1.0477373736331e-24	1.23332609862699e-22	45.4719190331862
TP53INP1	1.88197850838142	1.58119006910149	2.18276694766135	6.59498123060678	12.3624548236848	1.11697772496327e-24	1.30570041974352e-22	45.2706943495431
CTPS	-1.43187510956931	-1.66075942663694	-1.20299079250167	5.06654854547272	-12.3606213236886	1.12969730795708e-24	1.31146170929942e-22	45.3133605075381
DNAJC12	4.79754466020337	4.03004506788386	5.56504425252289	4.31976698080545	12.3507141687332	1.20097524249429e-24	1.37799962444055e-22	45.3682084886769
KRT16	-6.10463320604032	-7.08126333759933	-5.12800307448131	1.45003866021662	-12.3503894792882	1.20338587769715e-24	1.37799962444055e-22	45.4183257793817
BBS4	1.47060599901345	1.2347293334737	1.7064826645532	4.43081021479007	12.3186339895933	1.46412753879023e-24	1.66524722030107e-22	45.1102806641415
RGMA	-3.12956105360285	-3.63254791781752	-2.62657418938819	3.10065787540523	-12.2935690055772	1.70926857017944e-24	1.93101462025708e-22	45.0443064722313
SERBP1	-0.875131098035592	-1.01586068997267	-0.734401506098516	8.31074544756757	-12.2868027633168	1.78221311522188e-24	1.99999955790199e-22	44.7952669766662
C16orf57	-1.25364890972077	-1.45598090625892	-1.05131691318262	5.22381366682716	-12.2422870538454	2.3462207072294e-24	2.61549226256904e-22	44.5721930097665
NBEA	2.76212435863133	2.31617677273109	3.20807194453157	3.67826230447176	12.2380045068646	2.40911012817661e-24	2.66793097286822e-22	44.6830873167659
ASB8	0.804087727189089	0.6742267800821	0.933948674296079	5.32745073010324	12.2342137995111	2.46618205414392e-24	2.71328382466696e-22	44.5194246646215
LEMD1	-5.7699539177563	-6.70217158272158	-4.83773625279103	-3.89275559648606	-12.2294299723038	2.54014012919029e-24	2.7602385863331e-22	44.131901194541
PCSK4	3.36971634346229	2.82528670697383	3.91414597995074	1.06909066063773	12.2293333747427	2.54165615684447e-24	2.7602385863331e-22	44.6472678640723
FAM174B	1.96255852800701	1.64531278625118	2.27980426976283	5.95966729823066	12.2230056919749	2.64296115598485e-24	2.8518567396598e-22	44.4336907574329
GIN1	1.06378141490624	0.891486301098044	1.23607652871443	2.83923664570709	12.1991798905169	3.061991932898e-24	3.28296243353326e-22	44.4844396041813
PPP1CB	-0.980178640216202	-1.13909397449998	-0.821263305932421	8.37323757888571	-12.186826455246	3.30478161039523e-24	3.51871868912579e-22	44.1813617657446
EFCAB6	2.93906197612431	2.46251123522819	3.41561271702043	0.610307294889632	12.18570873349	3.32767666522506e-24	3.51871868912579e-22	44.3574992202354
SLC43A3	-1.6813824208263	-1.95403070496893	-1.40873413668367	5.69755125074708	-12.1847025508575	3.34842262847689e-24	3.51871868912579e-22	44.1948230903979
SFT2D2	-1.67062714481175	-1.94154968982329	-1.39970459980021	2.27515477466392	-12.183879221709	3.36549461741372e-24	3.51871868912579e-22	44.4023325561287
DNAL1	1.30020238700386	1.0887417696975	1.51166300431022	4.56458934578975	12.1487798308589	4.18028472850251e-24	4.34362548363474e-22	44.0547578571389
EML4	-1.17362184902202	-1.36461464994902	-0.982629048095018	6.15826109036533	-12.141221618357	4.38007458187651e-24	4.52330033354155e-22	43.9068403227533
GAMT	3.061451907035	2.56311511277228	3.55978870129773	4.20671240092619	12.1382390299192	4.46151746779152e-24	4.57931241069114e-22	44.0435149294415
FAM174A	1.51606951542783	1.26859350379183	1.76354552706383	4.14114117767102	12.1042310525011	5.50443250900826e-24	5.61552196509916e-22	43.8195017680004
ENPP1	2.55500916918455	2.13770918377042	2.97230915459867	6.18581436317412	12.0974905547433	5.7384504714549e-24	5.81899619192774e-22	43.66497946628
MAGED2	2.10634551227822	1.7622900571735	2.45040096738294	9.35228651972766	12.0962947812434	5.78099272869321e-24	5.82703297018519e-22	43.637235011504
ATP6V1C2	-2.76747063087386	-3.21978062650889	-2.31516063523883	2.04059968281102	-12.0892131135759	6.03948233198939e-24	6.0513456008558e-22	43.8258443669507
C19orf51	3.82323070493585	3.19785108267673	4.44861032719498	1.54046016588647	12.0791945951808	6.42503306139153e-24	6.39956103682861e-22	43.7552561434108
RARRES1	-3.87636320519525	-4.51102683584559	-3.24169957454491	4.04003091019388	-12.0679096194305	6.88887550955871e-24	6.82120243837658e-22	43.6067541752578
ATP8B1	1.92569945457941	1.61005513633311	2.24134377282572	6.54852230195563	12.0542926074859	7.49336798608676e-24	7.37636627542681e-22	43.3768719216734
CLCN4	-2.87093616880871	-3.34285484934779	-2.39901748826964	1.88949796601705	-12.0200857527483	9.25632720265088e-24	9.05882301175711e-22	43.4050320545072
ANKRA2	1.32556764438657	1.10735430346711	1.54378098530603	3.89263527307449	12.0025022086151	1.0318266129826e-23	1.00397325874775e-21	43.2134556231524
GPD1L	1.90906384532847	1.59457614857886	2.22355154207808	6.28754972534681	11.9941089980914	1.08672930563994e-23	1.05131691964581e-21	43.0129123056197
C20orf26	3.58043451735456	2.98965715274989	4.17121188195923	-0.653703253430665	11.9746571093358	1.22546285740112e-23	1.17875521592189e-21	42.9738809662307
SALL2	2.19700180420582	1.83415777025378	2.55984583815786	4.4543579845324	11.9635928677525	1.31213656937962e-23	1.25495425411177e-21	42.9381897824566
HPDL	-3.61264727321862	-4.20989438711682	-3.01540015932042	-0.321795744542915	-11.9515077934411	1.41382559337575e-23	1.34457210244599e-21	42.9078980323201
IVD	1.50159564455022	1.25313117948274	1.7500601096177	6.44619326135373	11.9409783963342	1.50882671407943e-23	1.42685843135388e-21	42.6767004279252
TTC39A	2.64459007645279	2.20684009832271	3.08234005458287	6.5998319883004	11.9366766385788	1.54945184700631e-23	1.45709066707582e-21	42.6653606967491
LIMA1	1.54186550017276	1.2863649066368	1.79736609370871	7.03822257514431	11.9235554549581	1.68024653155521e-23	1.57131054809272e-21	42.560458965484
