	TCGA-A7-A13F-01	TCGA-A2-A0YE-01	TCGA-BH-A0B0-01	TCGA-C8-A131-01	TCGA-A2-A0D3-01	TCGA-AN-A0XN-01	TCGA-E2-A573-01	TCGA-E2-A15P-01	TCGA-A2-A25F-01	TCGA-AO-A12F-01	TCGA-E2-A1IK-01	TCGA-E9-A1NC-01	TCGA-EW-A1P4-01	TCGA-AR-A24N-01	TCGA-BH-A18I-01	TCGA-AR-A24L-01	TCGA-BH-A18G-01	TCGA-AO-A0JG-01	TCGA-BH-A0BD-01	TCGA-E2-A15I-01	TCGA-BH-A5IZ-01	TCGA-D8-A1JS-01	TCGA-AO-A03P-01
FOSL1	43	95	90	261	40	164	128	65	285	465	71	1010	1170	38	291	62	212	68	122	59	35	24	57
FOSL2	5868	8049	4841	3589	3963	4209	3597	5116	8422	4734	1267	3595	11828	10178	6426	4911	1413	3268	6708	4148	5848	4403	4320
FOS	6755	2845	15066	41134	18876	9835	7581	7485	9989	3501	13873	8454	8880	12803	9822	5681	1932	31873	7469	19624	9849	655	3354
FOXA1	15063	98	17974	7649	28976	5952	97	26441	74	399	26980	51	146	24566	27415	30687	517	37064	12739	30237	1400	39075	35710
FOXA2	0	0	0	0	0	1	0	0	57	0	0	1	6	0	0	0	0	0	0	1	0	0	5
FOXA3	6	4	44	0	6	0	0	23	7	12	16	247	20	4	300	5	0	5	79	6	40	17	2
FOXB1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	1	1	0	0
FOXB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXC1	209	37215	379	619	159	375	12918	575	3205	6722	1815	4822	1072	229	737	471	3799	460	762	427	3997	79	98
FOXC2	29	33	26	8	20	35	25	90	39	62	13	186	195	14	58	54	52	33	28	56	54	4	8
FOXD1	10	583	9	27	3	117	14	23	252	4	9	1298	189	6	34	11	311	3	21	15	1241	2	3
FOXD2	176	38	718	11	25	152	22	152	133	13	118	50	70	82	268	58	10	79	71	86	220	107	137
FOXD3	86	421	0	0	1	4	9	25	7	49	1	122	73	18	0	1	35	55	5	0	97	0	0
FOXD4L1	7	2	8	25	24	7	18	34	19	25	14	11	3	2	19	28	0	7	7	28	43	7	61
FOXD4L2	8	3	10	7	95	3	5	26	16	3	1	11	1	7	13	22	0	38	5	33	2	1	69
FOXD4L3	0	0	0	1	1	0	4	2	8	0	2	0	1	1	1	1	0	2	0	0	1	0	0
FOXD4L5	1	0	1	0	1	0	0	0	0	0	0	3	0	0	3	1	0	0	0	1	0	0	2
FOXD4L6	6	0	6	15	15	1	20	8	36	2	3	6	4	6	9	6	0	11	4	4	12	1	8
FOXD4	17	0	36	105	28	16	27	53	28	43	15	45	5	15	60	56	14	24	10	28	158	25	91
FOXE1	3	0	2	0	0	18	1	6	0	9	2	2	116	1	2	5	0	1	1	2	0	0	0
FOXE3	0	3	0	0	0	0	12	2	2	0	7	12	9	0	3	2	0	0	0	0	4	1	2
FOXF1	7	7	53	17	11	105	20	16	372	68	14	27	7	39	50	59	10	37	23	28	19	8	40
FOXF2	127	222	214	88	93	259	85	229	297	96	37	720	202	156	417	382	46	189	215	123	43	19	71
FOXG1	0	29	0	0	0	1	12	0	349	0	0	1	14	1	2	1	0	0	0	0	5	0	3
FOXH1	14	10	14	39	16	6	15	22	3	5	12	68	5	63	24	12	12	0	7	22	9	9	8
