	TCGA-A7-A13F-01	TCGA-A2-A0YE-01	TCGA-BH-A0B0-01	TCGA-C8-A131-01	TCGA-A2-A0D3-01	TCGA-AN-A0XN-01	TCGA-E2-A573-01	TCGA-E2-A15P-01	TCGA-A2-A25F-01	TCGA-AO-A12F-01	TCGA-E2-A1IK-01	TCGA-E9-A1NC-01	TCGA-EW-A1P4-01	TCGA-AR-A24N-01	TCGA-BH-A18I-01	TCGA-AR-A24L-01	TCGA-BH-A18G-01	TCGA-AO-A0JG-01	TCGA-BH-A0BD-01	TCGA-E2-A15I-01	TCGA-BH-A5IZ-01	TCGA-D8-A1JS-01	TCGA-AO-A03P-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:100133144	0	75	12	15	39	13	6	13	10	31	6	8	3	4	40	27	28	33	27	44	22	0	41
Entrezid:100134869	3	66	8	28	14	8	3	10	15	42	3	8	7	11	24	30	1	29	15	24	31	5	32
Entrezid:10357	193	479	278	469	274	162	636	282	375	433	124	273	345	270	311	242	206	277	428	295	295	264	429
Entrezid:10431	2457	2278	3136	2831	2688	1720	3907	2258	2598	6496	2023	4396	3321	3248	3314	13084	2959	2740	2916	1550	1910	4129	3691
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	100	662	248	385	602	169	650	1162	234	842	58	187	294	586	522	277	124	400	315	1161	312	513	539
Entrezid:26823	1	1	0	1	3	1	0	7	0	5	0	1	0	2	2	0	0	1	1	10	0	1	7
Entrezid:280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	0	4	0	0	0	1	0	0	3	0	0	1	1	0	1	1	0	0	0	1	0	0	0
Entrezid:388795	0	0	0	2	1	2	10	3	6	8	1	2	1	2	2	9	0	0	0	1	0	2	2
Entrezid:390284	32	10	29	17	19	12	19	13	19	21	18	9	20	21	26	26	18	13	20	8	6	10	27
Entrezid:391343	1	0	0	0	10	0	0	7	1	0	0	0	0	0	2	0	0	1	2	3	0	0	0
Entrezid:391714	0	2	0	0	1	0	0	1	2	2	0	0	1	0	2	1	0	0	2	0	0	0	1
Entrezid:404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:442388	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Entrezid:553137	7	0	0	1	0	2	1	0	6	3	0	1	1	1	0	14	0	3	14	0	1	3	0
Entrezid:57714	848	4225	1189	393	1563	2100	1351	5319	9632	728	625	391	5772	6142	2234	7413	329	3009	3938	3374	1599	275	1383
Entrezid:645851	10	39	24	7	38	6	28	87	26	127	0	12	11	40	48	19	4	67	22	72	3	12	15
Entrezid:652919	18	37	35	0	107	101	22	236	270	23	0	0	0	40	128	298	0	0	24	39	4	0	0
Entrezid:653553	1688	198	250	316	2101	371	256	528	323	175	323	1186	425	2563	1009	1502	614	329	1191	484	790	193	1180
Entrezid:728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Entrezid:728788	0	0	1	0	1	0	2	3	1	1	0	0	0	0	1	0	0	3	0	3	0	1	4
Entrezid:729884	2	4	10	59	130	6	18	25	2	1	6	8	48	1	13	162	1	37	0	10	0	90	3
Entrezid:8225	975	974	1171	1058	1408	402	1915	1487	1113	920	591	2293	623	680	1391	873	768	1222	1151	1163	2525	1971	1832
Entrezid:90288	48	5	136	11	504	44	10	402	9	39	85	4	20	334	262	87	7	17	100	387	11	693	32
A1BG	575	558	326	467	259	295	194	494	127	252	421	381	277	209	418	695	34	733	272	344	197	1011	687
A1CF	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
A2BP1	0	0	5	0	0	0	0	2	3	1	132	0	0	0	0	0	0	0	0	0	0	0	27
A2LD1	113	43	147	184	348	126	103	305	380	73	162	224	207	330	287	297	134	197	360	252	464	105	320
A2ML1	0	130	9	784	25	12	337	5	2617	244	2	7427	3235	9	1	5	6	11	110	2	6996	3	0
A2M	32854	15398	44093	15054	17081	32788	52388	58496	123107	168652	18203	60721	12442	24934	48374	55603	5703	51166	42751	29263	16193	13146	25083
A4GALT	243	223	996	678	822	942	828	599	1062	671	164	4432	2771	1074	949	540	137	574	1267	218	804	1571	253
A4GNT	0	2	3	3	4	2	5	12	4	0	1	2	1	8	9	4	0	2	4	2	3	0	1
AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AAAS	2273	1572	2031	1123	2341	941	1134	2570	1826	1207	1225	1196	1309	1930	2294	1684	1206	2102	2103	2006	1118	2850	2392
AACSL	0	56	0	0	0	0	0	0	1	20	0	0	0	1	1	11	0	1	0	0	0	0	17
AACS	3183	5419	1758	1994	3505	1081	4019	5213	1567	1360	5315	2419	1937	4174	3574	2868	1839	2830	4362	2520	1858	11032	2329
AADACL2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
AADACL3	0	0	2	0	0	0	0	0	1	1	0	5	0	0	0	0	2	3	0	0	0	0	0
AADACL4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	1	159	330	0	0	1	0	27	46	1	1	1	3	2	0	0	1	4	0	0	0	0
AADAT	183	363	60	203	49	173	264	64	215	1068	69	117	320	111	106	565	131	135	176	59	392	7	257
AAGAB	7189	2889	5316	2352	6087	2005	1589	9537	4486	2130	3256	2304	4116	6977	7975	10625	1150	6874	4576	4881	4444	7984	12711
AAK1	1791	3300	2465	1943	1918	2577	1278	7349	7043	1996	1874	1375	2579	3558	3460	6197	810	3939	4130	4986	1350	1594	1042
AAMP	6031	11085	8485	6499	7971	5067	5347	8919	6222	8799	5331	4462	5887	6437	6517	7883	3226	8656	8046	5281	3780	13725	6746
AANAT	1	1	0	0	0	0	2	2	1	0	0	0	6	1	2	0	0	2	0	0	1	0	1
AARS2	1396	2061	600	1123	1365	573	1129	2054	1734	2387	806	916	2504	837	1671	859	644	2090	1131	1311	2483	1328	1545
AARSD1	1746	1367	806	1287	1709	482	1119	2005	1269	1922	1211	1103	987	1251	1139	1697	711	1010	1353	1060	775	2800	2944
AARS	10393	8090	4870	5285	4895	7977	6692	7155	11022	11446	6263	7290	8216	11118	7065	7882	2900	11946	15561	3246	6384	7845	11677
AASDHPPT	1983	2460	1658	1537	3198	4740	1669	2198	4648	2286	1842	1590	1844	4896	2729	4218	1306	2707	1538	3112	1276	1530	2119
AASDH	589	2070	341	321	1667	660	461	2127	1253	589	520	274	939	1937	1089	1704	143	1547	1051	1377	281	849	987
AASS	392	481	461	374	388	560	164	1435	711	1293	203	160	298	208	926	843	357	1511	270	2120	112	322	631
AATF	4458	3547	2005	2232	4705	1878	3173	4167	4981	4263	1652	2633	2619	3125	3227	3556	1116	2335	4545	2774	2521	3811	4125
AATK	89	876	114	156	159	64	135	137	100	296	463	89	95	572	112	123	32	405	812	46	392	122	63
ABAT	4567	967	4019	603	9596	545	202	4409	1001	1284	2161	223	220	5044	13284	4237	63	3206	2810	12397	103	13656	2091
ABCA10	5	1	25	1	29	11	46	109	89	15	7	37	1	59	66	108	29	165	23	133	9	37	13
ABCA11P	254	272	189	185	617	184	194	553	339	253	298	57	65	421	256	250	195	312	241	316	129	337	102
ABCA12	1801	51	2145	967	4994	14	30	61	10	9	4	20	24	4500	296	1580	22	56	6297	1649	30	24	10
ABCA13	2	267	1	5	0	105	39	18	62	119	3	93	9	3	6	12	993	16	922	13	94	0	1
ABCA17P	25	93	26	31	40	16	41	55	10	26	10	459	30	10	69	63	3	9	25	29	48	29	132
ABCA1	765	2567	1663	935	1522	3688	1094	3484	9669	2564	664	783	2955	1716	4744	5814	360	3696	2544	4037	976	280	1907
ABCA2	2174	2312	3482	1646	4733	2385	1086	6100	2039	4023	4645	1285	2418	9123	4781	5477	669	3804	5480	4723	1633	3363	1286
ABCA3	6412	8067	3293	2058	5872	2041	523	9617	1626	4428	4111	1703	589	11440	16028	10036	1704	6065	9935	6071	2975	9114	6302
ABCA4	1589	19	24	67	11	17	11	263	38	78	151	2379	2	45	160	19	31	45	126	1016	17	9	32
ABCA5	222	67	365	92	769	330	1176	2142	794	123	578	432	136	2903	940	3207	1495	1439	620	918	629	2004	1215
ABCA6	120	44	226	74	141	132	73	556	3244	546	36	105	58	689	767	725	140	601	333	443	17	21	102
ABCA7	1340	282	649	1123	454	144	1226	1214	945	122	907	303	609	462	940	955	244	1108	953	1300	974	1342	276
ABCA8	78	42	657	3	81	11	7	995	2357	512	40	88	24	407	592	314	6	744	440	455	27	6	10
ABCA9	57	26	196	13	87	26	35	357	897	523	22	44	17	310	629	659	21	724	347	389	8	81	37
ABCB10	2689	1495	904	466	2900	1408	1918	2058	2556	1510	621	1726	1482	4207	1764	3127	1075	1887	3743	1420	2032	1047	1284
ABCB11	4	0	2	0	0	0	0	5	4	0	4	1	5	0	8	9	0	2	0	3	2	0	0
ABCB1	139	64	187	34	112	18	102	511	953	167	126	79	184	173	429	514	20	837	203	339	36	53	74
ABCB4	48	56	55	60	35	81	15	86	259	46	47	32	9	118	194	127	23	364	96	165	26	8	54
ABCB5	16	2	30	3	4	10	4	85	7	28	3	12	0	5	18	15	24	46	22	15	2	2	4
ABCB6	1232	576	956	1217	1198	1202	693	1951	976	958	2367	723	887	2649	1274	2551	1416	692	1840	718	889	2775	1590
ABCB7	1370	1262	1421	276	1525	1026	619	2156	2266	1125	721	797	1026	1883	1820	1477	274	1586	1524	1929	786	1514	1405
ABCB8	3041	1006	1611	1367	2885	573	2066	3321	1613	1884	1423	980	1755	2215	2793	1727	739	1806	2364	2197	1434	4295	2053
ABCB9	379	308	256	582	242	54	562	657	278	277	81	721	253	58	674	417	176	754	865	986	415	383	459
ABCC10	669	1135	505	1201	1241	643	1003	1430	1641	1599	466	1121	2029	861	1076	1486	562	978	1108	1036	2495	760	716
ABCC11	3874	3	4100	2258	3753	2225	2	1241	9	1	635	3	7	626	47	573	3	37	421	1419	3	1327	26
ABCC12	12	1	71	4	71	15	0	2	0	0	0	0	0	1	0	4	0	0	0	14	0	10	1
ABCC13	0	0	2	1	64	441	0	4	0	0	114	0	0	0	95	31	3	2	3	0	1	0	0
ABCC1	3231	12506	2337	2797	4692	2668	1857	2813	7156	6674	684	2711	5996	7409	4349	7578	753	3705	3891	2914	2507	2243	3688
ABCC2	14	2	15	11	9	18	37	18	33	12	2	11	4	31	24	29	66	58	10	22	6	10	8
ABCC3	13243	529	519	3624	868	4042	310	1460	1830	517	1977	914	1039	2451	856	1669	1681	452	1468	700	471	245	199
ABCC4	140	319	416	158	169	459	331	458	2926	619	149	348	739	360	843	696	125	532	445	381	447	30	131
ABCC5	1999	2928	5627	660	1091	1884	1390	6262	2130	1820	1735	1300	2528	13047	13549	7333	780	5777	2002	19750	2078	227	1267
ABCC6P1	17	0	18	3	7	4	19	61	4	5	2	1	6	103	0	0	0	7	29	4	0	14	0
ABCC6P2	160	15	36	47	67	15	11	44	11	136	8	5	32	449	52	52	4	64	66	8	6	151	19
ABCC6	643	11	152	79	234	43	20	485	90	76	45	18	31	2074	340	39	13	1109	319	46	19	426	33
ABCC8	115	0	638	11	427	15	0	169	1	5	230	0	2	22	785	363	0	3687	1708	1515	2	7085	535
ABCC9	659	547	1138	463	284	1675	240	1181	4006	2118	121	129	190	666	803	1453	99	906	938	459	114	89	669
ABCD1	835	1771	1313	1054	822	423	4338	1607	1259	385	782	4830	2589	856	916	2082	1564	774	1116	902	3475	757	971
ABCD2	8	76	132	10	36	7	229	40	1192	50	19	30	60	32	68	70	11	168	90	65	10	2	11
ABCD3	12598	2618	3533	1792	5370	2860	2302	14811	4622	1381	4939	1825	3873	8724	10132	11890	1503	8201	4651	9281	1754	10462	11897
ABCD4	664	1388	522	812	1458	522	959	1021	1790	1127	945	1116	681	1203	1599	909	1114	1507	1192	1709	877	2033	1217
ABCE1	3972	4548	2171	3138	6115	6127	3436	7199	10090	7277	2416	1936	7526	6410	7371	8812	2933	5366	4918	4324	3573	3823	7622
ABCF1	4453	11587	2541	3302	4627	3622	5973	5931	8635	4535	2658	7406	7761	4600	8869	4462	2158	7679	5779	4329	6548	4942	6696
ABCF2	3927	4487	3333	2660	3939	2156	2810	5463	6435	7167	2623	1994	5317	3583	4531	5217	1868	4386	4423	4089	5232	4750	4969
ABCF3	2864	6498	2470	2263	3217	1889	3148	4847	2865	2620	2167	2845	3730	3561	3862	3540	1938	4531	3367	2567	2981	5173	2994
ABCG1	2784	603	1817	1085	5858	2087	396	2485	4496	839	1969	1085	2387	1928	5697	2180	300	10450	1417	6700	582	4223	2696
ABCG2	83	510	211	83	77	175	51	294	231	71	122	32	26	178	388	511	22	483	182	260	14	112	277
ABCG4	8	11	11	10	4	11	6	5	14	19	1	3	5	4	10	15	10	5	4	2	10	10	2
ABCG5	0	2	2	1	10	3	4	4	1	6	6	2	1	14	5	5	3	1	5	4	4	15	6
ABCG8	0	1	0	2	0	7	0	0	1	5	1	0	4	0	0	2	0	0	0	1	0	0	2
ABHD10	1692	1153	1770	980	2070	1091	2165	3135	2437	2116	2411	968	2312	2121	2813	3351	941	1953	1583	2566	1663	1319	2269
ABHD11	1466	1366	2823	5085	3668	873	2389	2512	808	4231	1055	2179	1747	3606	2632	2169	1588	1983	1627	2446	2485	2889	2109
ABHD12B	3	2	526	6	1	8	1	7	4	1	19	8	0	27	15	153	0	12	8	4	1	3	8
ABHD12	4362	5466	3017	5435	1933	2030	2977	5218	5221	3393	11306	2589	1570	4071	4259	3072	2482	4162	3778	4099	5454	20130	7107
ABHD13	674	1081	942	730	1430	1053	1545	1121	2730	796	758	1200	926	951	2495	1823	632	2225	1223	2747	1378	1001	1526
ABHD14A	1600	404	539	691	879	276	556	1152	484	1402	871	485	462	739	667	396	360	386	806	487	389	2418	682
ABHD14B	7599	1111	5300	2626	5321	2123	2012	3936	4333	2381	4105	2684	2243	6471	4224	2826	1290	4499	4097	3971	1724	5601	5773
ABHD15	842	2337	851	455	1165	439	524	1853	2151	347	1078	536	607	1285	1304	1453	253	1412	1061	851	700	1538	728
ABHD1	43	31	93	26	87	11	2	168	21	47	31	14	12	154	28	14	1	115	106	135	29	44	32
ABHD2	12264	17029	15763	3460	24937	11184	1766	19628	20446	3744	11754	7575	9664	43782	20760	57689	1660	61306	13543	43681	5717	22789	26000
ABHD3	1443	627	3676	295	2570	347	1106	3246	1974	649	1036	921	1040	1516	4628	1656	828	1500	573	4847	1303	2267	529
ABHD4	1508	987	2534	1074	1593	2385	687	4109	3067	1033	1354	1494	1298	2928	3551	5011	1508	5436	3068	2169	1101	2774	4144
ABHD5	3083	2195	1504	1379	3393	1892	3181	3648	3059	2672	685	1323	1644	6183	2790	5283	1495	1598	2577	2011	1531	2354	2663
ABHD6	146	208	351	311	288	257	163	657	806	390	400	138	332	564	845	396	46	271	215	718	127	503	747
ABHD8	1169	1172	543	1273	329	520	759	888	537	289	763	989	913	504	690	885	328	629	726	541	1809	1735	518
ABI1	2655	4970	3069	3809	5485	4014	8137	6713	8729	6791	2482	4504	3701	6532	5433	4171	3346	7206	4341	4116	3185	3292	4377
ABI2	2420	12552	2982	2044	3433	5658	2726	5447	3370	6543	2930	1975	3587	3719	6153	8680	1019	7181	4524	5169	2156	2905	3519
ABI3BP	286	208	1924	182	1085	519	367	1988	18468	310	251	539	271	968	3194	813	17	3108	1453	1799	48	17	71
ABI3	353	211	575	287	306	453	581	415	1850	319	474	878	706	251	744	473	272	770	634	363	287	309	383
ABL1	3982	6158	6681	4144	7607	4282	4048	9770	7293	6596	2222	2540	6414	6326	9773	8285	3196	6873	8117	6400	5323	3743	5304
ABL2	3016	3497	2193	2534	6773	3236	1565	4652	5745	5052	933	2214	4023	5224	6170	6997	1816	5428	6386	3455	3173	1206	3313
ABLIM1	3668	2966	8705	6894	8912	2086	4916	7792	11275	3171	3116	5205	5721	12476	4056	2601	3651	11955	11279	9476	8350	7194	3263
ABLIM2	314	185	165	27	227	79	67	165	491	168	280	421	834	158	120	281	45	300	409	92	664	757	50
ABLIM3	4043	120	3840	197	1770	269	152	4882	2110	587	206	686	146	3480	977	2927	104	5399	2938	3583	166	6326	2792
ABO	2	2	16	0	4	1	4	29	21	24	9	4	2	26	18	44	3	987	19	15	3	0	8
ABP1	13	695	78	16	5	11	77	10	354	7	2	1190	110	28	29	419	0	31	46	15	13	3	6
ABRA	1	0	1	5	1	0	1	1	5	1	0	3	1	2	4	0	0	3	0	1	1	2	0
ABR	5108	4678	4421	2868	8203	3334	2262	7919	10291	2159	4972	2964	3373	6294	7047	5126	1425	7159	7348	4343	4449	6184	4964
ABT1	1042	2183	1086	1574	1879	997	2220	1771	2324	1821	1037	2408	2242	1342	1918	948	1262	2401	1600	1204	2085	1987	1966
ABTB1	1156	358	1047	589	661	519	1097	1036	1358	958	1054	507	631	476	1158	1099	665	1942	1321	779	975	973	1284
ABTB2	50	2694	130	390	338	267	461	147	907	1692	40	1585	948	915	226	370	328	186	322	67	1342	11	135
ACAA1	3130	1849	4752	3298	3922	1263	3454	4455	3678	3475	3893	2389	1393	4027	3479	2029	1446	2206	3151	2992	1600	12009	2143
ACAA2	2801	4550	3221	3188	4109	2061	3826	2744	6637	3813	1904	1793	9849	861	2410	3617	2404	3426	2928	1999	4604	590	8403
ACACA	5689	7572	4506	3565	5316	3530	3053	19522	4388	6181	4012	1304	4149	9019	5635	7642	1119	4168	7361	17553	3223	6829	6681
ACACB	3831	755	2505	69	1553	407	285	1669	2208	1222	563	559	679	685	1629	2053	58	1678	3876	1069	88	714	355
ACAD10	2274	970	953	926	2235	755	972	2629	1194	1342	778	731	789	2727	2102	1540	393	1535	1451	1847	632	1325	2118
ACAD11	476	335	691	184	1026	555	672	1486	1090	1094	211	602	242	1396	1191	1393	184	609	938	1400	271	753	255
ACAD8	1162	939	1259	1123	1424	650	1359	2836	1460	1124	913	714	1056	1364	945	687	506	1120	704	1518	421	3494	1086
ACAD9	3459	1749	2135	1396	2776	1499	4545	3376	2480	2630	1574	1965	2109	2436	3174	2952	1168	2388	2384	1895	2929	3827	2040
ACADL	2	1	56	0	1336	0	8	20	87	13	14	47	52	34	8	9	0	7	23	5	9	0	2
ACADM	1338	1162	3067	1011	5184	1863	2189	2486	4795	2759	1675	2134	4047	7546	4970	3687	723	4156	3311	4274	3254	7461	2526
ACADSB	5424	523	1447	140	12409	2299	386	8868	2083	968	4974	617	528	7174	48378	9018	468	4897	2471	14101	676	4832	5106
ACADS	915	1008	854	375	552	250	770	2624	1011	799	651	1168	501	434	1041	704	246	1098	875	733	549	1111	324
ACADVL	12019	13349	6616	5610	17601	4916	9952	13925	9983	13529	9877	5674	9339	13241	10314	4502	10431	5479	18367	5821	5089	27834	6155
ACAN	90	253	116	476	37	686	606	227	643	522	106	1761	198	187	240	343	54	339	153	24	153	306	690
ACAP1	31	134	519	182	327	139	971	161	3259	46	204	741	653	159	511	47	44	863	356	441	71	32	86
ACAP2	2890	3756	2508	1216	3415	4564	2368	5290	11118	2924	1425	1581	3084	5162	5517	8776	965	6312	3342	4420	1637	1656	2703
ACAP3	701	1539	1284	981	2273	555	1607	3128	653	483	643	849	1257	1671	1977	602	789	1033	2260	2499	2382	1918	1173
ACAT1	6975	429	2039	1751	13078	3569	1269	3291	4753	2005	4235	2749	1350	16729	2615	3662	1209	8662	2613	2555	1593	2137	3709
ACAT2	1730	3169	839	1557	702	605	4098	1155	2086	4983	758	1257	4557	1858	1341	1293	1264	1024	1346	556	2933	1557	1645
ACBD3	6026	9329	4240	3061	10640	5036	4121	6830	9210	5826	2468	3583	3699	14835	8359	15363	3174	10756	12287	4975	3698	5755	5170
ACBD4	789	499	330	229	511	202	289	981	301	310	772	381	135	636	865	652	98	430	602	891	115	1685	624
ACBD5	3227	2283	1343	1404	2930	1179	2191	6201	3540	1940	1620	1091	1711	5292	2544	3266	1545	4898	2495	2300	1221	1944	2623
ACBD6	1418	1458	1501	1533	2303	670	1614	1149	1239	2465	540	963	1632	1854	1560	1593	1697	1831	3826	819	2122	1768	2461
ACBD7	80	611	89	76	76	73	560	211	314	1108	61	42	39	95	389	166	98	40	287	352	137	45	74
ACCN1	7	0	2	0	0	24	14	1	0	3	1	3	3	1	2	312	47	3	327	0	1	499	62
ACCN2	162	361	210	243	60	216	85	185	156	248	696	235	717	198	122	676	208	851	157	94	692	343	119
ACCN3	38	28	26	30	77	10	170	133	13	107	19	20	9	123	30	49	4	185	22	62	140	51	141
ACCN4	1	48	6	0	5	3	18	10	1	42	1	20	2	3	6	1	0	9	2	10	6	1	4
ACCN5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACCSL	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	149	534	379	310	787	128	416	1521	351	225	272	364	264	534	611	188	377	898	310	801	237	179	655
ACD	1341	976	534	1304	471	515	697	807	1036	1696	947	825	776	955	907	948	443	1101	1361	511	818	728	772
ACE2	0	71	243	81	5	6	502	3	10	25	5	126	13	5	4	0	311	4	2	6	27	1	4
ACER1	0	0	0	0	1	2	0	2	5	0	4	2	0	1	0	8	0	5	1	1	2	1	3
ACER2	312	103	668	30	216	93	19	657	271	223	120	12	66	248	943	2539	11	1390	296	1404	28	66	381
ACER3	1005	4353	1154	1847	428	1896	603	549	3362	1053	877	518	678	1271	1893	2449	321	1530	9831	1070	801	497	671
ACE	1049	1883	3338	881	1424	893	1463	5064	4187	1460	4985	1177	964	587	1183	2013	300	2539	1690	859	472	759	810
ACHE	9	32	51	255	31	9	90	33	592	4	65	65	18	12	49	49	111	107	38	25	16	20	32
ACIN1	4028	8082	6976	6177	10675	3793	6285	13599	9880	10174	4151	5360	6666	7960	11723	8202	4247	11900	9434	17533	5049	11247	11592
ACLY	12880	12923	8101	9143	14139	7540	5289	21339	13998	16066	13061	4057	9554	17153	12239	23822	3337	17540	12238	13809	6262	24653	20301
ACMSD	398	2	4	0	4	5	0	90	0	0	20	0	4	0	0	60	0	6	16	10	9	49	153
ACN9	35	628	250	276	244	251	515	588	639	365	184	449	737	318	396	609	256	477	235	581	564	752	203
ACO1	6158	3237	3482	2094	2790	2606	1079	6276	9036	3000	2069	1322	2930	2295	3298	5159	1680	3181	6146	1581	2269	1992	2095
ACO2	10845	5177	5845	4732	8773	4506	4390	6801	8547	6883	8034	10783	7115	13775	5474	5127	2663	5894	8033	3534	4411	14019	5908
ACOT11	517	694	101	38	121	109	39	77	329	45	28	953	1446	74	121	537	26	36	419	78	289	18	70
ACOT12	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0
ACOT13	1960	2168	867	1472	1397	1151	1471	2258	2417	2419	1407	1474	2187	1795	1857	1828	1496	2789	2072	1373	1510	2112	2374
ACOT1	1137	632	1042	1127	1740	1099	1415	1860	1442	1322	1115	1258	614	2499	1393	1137	694	1670	1608	1499	504	2890	5016
ACOT2	625	851	1109	677	1223	663	465	1071	1005	1031	604	1191	461	1639	1081	941	285	1305	843	1240	327	1228	2636
ACOT4	1220	189	703	834	1275	487	167	693	460	221	394	328	370	1089	888	631	145	677	821	644	66	3382	1763
ACOT6	10	2	4	66	6	7	2	3	8	0	1	7	0	31	3	5	1	4	9	8	2	20	39
ACOT7	1058	1011	876	2153	1522	684	1841	1620	2757	911	3148	1761	3727	2095	1453	1731	1168	808	2535	377	3449	968	1117
ACOT8	1657	1254	784	1015	490	507	1577	941	736	1251	772	597	957	556	954	876	588	647	684	670	662	1940	468
ACOT9	371	2005	919	1279	1088	1179	2325	777	2521	1308	551	4788	1699	1497	1456	1844	1114	1235	682	623	2325	246	945
ACOX1	3105	11485	2585	2509	4080	3108	2447	6143	9286	3671	3239	2632	3788	6070	5623	9424	3459	11828	4466	5339	5253	5213	4838
ACOX2	1605	8	200	147	1386	1568	54	538	177	69	1038	111	165	3110	1090	325	18	140	3713	92	25	1512	278
ACOX3	1085	1110	1016	1912	2765	773	507	6434	1637	978	471	799	681	2822	2542	1531	934	6094	1141	3021	1076	1340	1363
ACOXL	0	14	2	3	6	2	10	5	21	1	30	25	16	8	9	12	5	8	7	14	3	0	5
ACP1	3715	6547	4272	3041	5045	2532	5824	6777	5146	7613	2997	2861	3415	6106	5299	8507	3860	5233	3663	4749	6958	5123	4850
ACP2	1414	6161	3085	2437	2782	2618	2340	6504	7978	3340	4124	3418	3138	3611	4670	3634	1391	2758	3812	4041	4392	5193	3641
ACP5	4989	1210	5050	2022	2975	2028	3802	5254	14095	1205	7426	3684	2007	3020	4738	1956	229	2092	3978	2188	2639	8990	1577
ACP6	2341	437	1088	842	1299	255	460	1143	614	475	310	681	494	1621	415	1177	621	1448	1022	891	335	3134	596
ACPL2	630	2235	1451	471	1347	862	1109	2206	962	461	868	1540	748	2162	1960	1862	590	2321	1925	2496	1321	2373	1194
ACPP	45	175	48	241	10	16	116	177	91	196	37	27	117	21	180	52	42	203	72	327	26	15	79
ACPT	0	0	2	1	2	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
ACRBP	48	94	48	13	180	67	48	59	218	106	30	154	31	177	78	35	20	65	112	87	38	63	54
ACRC	8	19	45	107	47	44	41	84	65	72	17	58	14	21	30	35	15	46	18	72	14	51	16
ACRV1	3	9	0	7	0	0	15	7	8	12	4	2	9	3	2	0	3	4	3	9	5	5	7
ACR	6	9	9	1	35	6	36	7	8	12	42	65	5	20	3	7	11	8	5	5	3	2	11
ACSBG1	4	3	12	8	7	11	5	13	11	13	12	22	5	8	18	27	17	11	16	7	16	6	11
ACSBG2	0	1	1	1	5	4	1	6	7	5	1	0	1	1	5	6	1	7	2	28	1	4	4
ACSF2	5096	2194	1706	2085	5289	956	2147	2301	1826	880	435	2383	2344	7441	3626	550	381	9173	1723	1152	3583	7321	3562
ACSF3	996	449	750	684	841	447	682	783	988	564	892	712	1922	825	755	548	526	1413	1514	701	746	784	1338
ACSL1	2050	4024	14168	7798	942	3961	2412	2382	16846	7372	4077	4279	2932	2859	6583	11057	2199	7039	5817	2140	7120	11947	3457
ACSL3	15988	9966	7303	10777	13460	3713	11317	20747	9429	19164	5024	3852	5615	15613	11866	27781	6487	52262	9541	13226	3836	18114	21622
ACSL4	1006	3028	1698	974	678	4442	1343	2125	13237	6612	567	2012	2890	1875	6211	3366	3149	2003	2515	1808	578	229	967
ACSL5	248	237	3753	1135	3472	391	824	1009	6188	1027	917	994	1175	1614	4462	666	52	1249	1347	2130	955	161	537
ACSL6	451	7	31	4	65	18	133	30	533	8	16	135	47	21	32	265	7	88	86	35	480	4	6
ACSM1	97	42	335	76	609	8	22	83	15	38	158	6	7	37	94	227	13	9	19	439	14	1446	368
ACSM2A	0	0	0	0	1	0	6	0	2	0	1	0	0	0	1	1	0	1	0	4	8	3	0
ACSM2B	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ACSM3	26	302	102	174	47	5	36	195	189	98	48	26	27	112	210	65	12	74	63	480	23	319	72
ACSM4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0
ACSM5	2	2	181	5	34	9	8	82	474	53	12	13	2	12	57	86	6	19	157	40	1	46	29
