	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:100133144	41	0	63	21	65	26	63	0	10	8	27	0	68	44	9
Entrezid:100134869	12	11	40	40	34	10	52	11	21	21	19	15	73	6	10
Entrezid:10357	213	196	321	315	228	366	292	409	164	218	244	385	276	386	228
Entrezid:10431	2290	3348	5814	1176	5266	3073	2942	2170	1369	1988	5872	2640	4705	4941	2106
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	883	244	1168	1103	1762	329	1875	537	600	128	295	304	786	160	368
Entrezid:26823	0	1	2	0	1	1	3	1	4	0	0	0	8	1	1
Entrezid:280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	0	0	0	1	1	0	0	2	0	0	0	0	1	1	0
Entrezid:388795	4	1	0	0	9	4	3	2	1	8	0	29	4	0	1
Entrezid:390284	7	10	13	3	34	30	16	11	14	12	15	26	13	27	4
Entrezid:391343	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0
Entrezid:391714	2	0	0	0	0	0	1	0	0	1	0	0	0	3	1
Entrezid:404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:553137	6	0	1	3	51	18	0	0	8	0	2	0	0	19	0
Entrezid:57714	2016	753	956	1248	2522	3271	1906	436	1069	2526	744	106	2008	2164	1793
Entrezid:645851	53	21	20	55	73	10	58	2	31	10	20	7	50	24	30
Entrezid:652919	255	0	101	50	0	77	95	32	28	104	0	0	165	0	48
Entrezid:653553	1072	153	138	225	509	654	2031	398	254	692	4496	370	1162	3965	23
Entrezid:728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728603	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0
Entrezid:728788	0	0	0	0	13	0	2	1	3	0	0	0	0	0	0
Entrezid:729884	6	181	6	5	1	4	5	12	16	0	3	9	16	1	140
Entrezid:8225	746	628	1649	1053	2031	548	1034	1317	886	1175	1629	1168	1341	1407	241
Entrezid:90288	29	36	20	18	183	84	179	120	303	19	635	0	253	611	19
A1BG	297	193	31	159	578	224	957	301	294	496	852	726	799	297	150
A1CF	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
A2BP1	9	0	1	0	5	0	0	0	0	18	0	0	6	0	0
A2LD1	156	24	147	66	131	258	729	286	120	187	137	265	465	216	38
A2ML1	2	9	43123	590	19	0	4	5	3	3	2	3037	5	106	179
A2M	17148	9696	22628	46859	24670	29370	19468	34662	46859	23973	6269	1975	15091	22447	16998
A4GALT	624	185	1739	618	1833	132	1223	919	1108	2173	1300	414	377	632	116
A4GNT	0	0	2	5	0	1	0	0	1	0	1	0	0	5	4
AAA1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AAAS	1709	998	2347	1859	3109	1939	2813	1484	1401	820	3006	1681	2340	3132	593
AACSL	0	0	0	0	7	2	40	2	0	0	0	0	3	3	5
AACS	3904	1670	1290	1707	5548	6022	1826	1491	2394	3802	3875	1703	4023	1155	338
AADACL2	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
AADAC	0	3	1	11	0	7	0	1	0	3	7	3	0	17	0
AADAT	92	276	393	284	360	96	225	179	40	83	22	309	65	59	366
AAGAB	6949	1030	5158	1110	8566	9344	8212	4272	2980	2464	4955	2033	7543	5072	1000
AAK1	2938	1411	1937	1215	2615	3752	2345	1453	2097	2216	1208	964	5592	2657	1488
AAMP	7939	5163	9037	2814	12525	9079	6794	5753	4579	5227	6452	6300	7621	8299	1304
AANAT	2	1	12	0	1	0	2	0	0	0	0	0	0	0	0
AARS2	628	1419	1728	1476	2537	965	1404	856	860	731	1035	1197	1237	3115	532
AARSD1	729	934	864	822	2227	1926	2849	1410	860	745	2663	3106	1686	2292	404
AARS	5555	5285	27415	5466	12263	18767	8629	3706	4005	9703	10485	5277	7623	14552	3232
AASDHPPT	1762	780	1991	1202	2413	1728	2561	2619	1694	1308	1802	1561	4353	3240	2144
AASDH	1004	219	917	357	1317	1167	927	764	787	407	472	320	1472	1307	794
AASS	835	568	135	231	490	981	730	821	654	204	64	60	431	202	577
AATF	2554	2503	3009	1849	7646	3075	6476	2194	2157	1954	6459	3583	3744	6105	2114
AATK	431	144	47	81	913	433	1839	92	246	223	60	57	79	47	84
ABAT	8231	172	187	244	373	20272	1297	3546	2965	192	7247	25	19330	1352	335
ABCA10	38	9	11	44	182	30	116	92	77	5	8	15	4	25	41
ABCA11P	253	189	203	206	1229	168	827	373	258	117	111	406	514	1150	134
ABCA12	63	18	23	28	172	61	122	485	47	25	1867	20	3189	16049	3
ABCA13	4	50	26	7	2	2	0	3	16	10	0	32	7	2	151
ABCA17P	25	8	5	32	30	13	109	25	42	1	24	25	15	8	5
ABCA1	1459	196	1005	1023	1382	3689	1454	1670	1619	5011	490	142	2754	3006	1442
ABCA2	4480	5748	4836	1441	11877	3365	10424	1990	5456	2969	1996	792	4681	3314	510
ABCA3	12608	461	1313	2009	3498	22504	7009	2974	3809	2648	7853	3581	5017	3084	274
ABCA4	20	224	21	1270	10	518	19	25	106	246	199	45	463	5	78
ABCA5	872	32	348	332	9966	1382	2824	506	607	136	693	243	103	642	385
ABCA6	88	12	16	57	225	98	182	350	338	136	45	6	45	247	263
ABCA7	714	355	444	433	851	1166	1300	354	467	136	689	1170	760	426	105
ABCA8	229	40	0	239	160	340	56	914	1019	33	6	27	22	127	120
ABCA9	81	32	5	71	354	118	114	388	166	47	39	9	33	73	145
ABCB10	1461	246	2265	1304	1235	1717	1163	1578	1108	840	875	910	3964	1602	784
ABCB11	0	0	25	1	6	1	4	5	6	4	1	0	1	1	0
ABCB1	166	45	62	79	171	249	125	442	419	9	11	2	51	63	247
ABCB4	39	2	6	18	37	159	43	83	36	98	38	24	70	59	15
ABCB5	4	0	0	29	7	17	8	18	21	9	9	152	3	1	8
ABCB6	1566	1272	943	935	2792	964	1795	593	1205	1173	1672	1042	783	1705	353
ABCB7	967	524	1808	817	1538	1846	975	1140	1247	996	674	888	1841	1635	1021
ABCB8	1973	1170	959	1361	1483	1320	1924	1552	1523	735	1847	1297	2368	1593	595
ABCB9	260	357	2079	142	1914	221	834	167	254	77	2212	218	445	517	122
ABCC10	784	306	661	1414	1922	899	1786	639	819	596	860	1725	951	1337	506
ABCC11	233	5	5	3	214	7752	4	365	1183	6	1722	1	6687	497	1
ABCC12	1	0	0	0	7	2	0	1	14	0	31	0	212	4	2
ABCC13	4	0	1	1	0	0	26	74	1	18	15	4	3	6	1
ABCC1	3779	2505	4664	3936	4628	3807	4886	1866	2799	3062	4382	1639	7548	5868	1816
ABCC2	16	5	27	64	73	1	25	21	20	11	10	7	40	69	17
ABCC3	419	207	67	847	267	2400	696	686	1386	1288	388	55	2250	488	257
ABCC4	227	40	1543	379	852	249	88	477	410	621	46	1287	141	481	571
ABCC5	3645	1441	3550	2859	6939	2357	5789	845	3601	1615	8314	1815	10519	13835	1305
ABCC6P1	1	2	6	0	12	0	0	4	6	0	8	5	19	70	1
ABCC6P2	43	42	68	7	39	29	1	40	32	5	200	16	61	118	11
ABCC6	89	95	87	53	54	153	16	132	283	31	1079	45	275	805	27
ABCC8	1012	4	5	10	1332	401	769	390	481	17	229	0	1330	56	0
ABCC9	283	81	839	302	558	586	219	449	737	457	97	20	250	372	530
ABCD1	676	447	1019	1112	1388	1149	3591	542	1016	1090	738	1086	886	640	251
ABCD2	53	9	521	11	14	22	7	27	345	9	2	11	15	81	72
ABCD3	20458	481	10211	2862	3796	34281	4514	8048	3435	4483	5825	1991	6630	2864	1923
ABCD4	400	339	264	617	1113	2051	1617	1370	1159	690	1390	993	1448	1382	496
ABCE1	4561	2888	6313	2383	3200	4536	5691	4308	2472	3436	1951	3060	6408	15562	5062
ABCF1	2291	1909	3834	6140	9320	5243	5125	3509	2969	3140	3296	5029	3481	12002	2406
ABCF2	3942	4150	6232	3605	4938	4767	4115	2456	2797	1957	3010	2687	4112	3526	2745
ABCF3	2897	4519	4553	1913	4898	3868	3211	2047	2135	2289	4834	3434	2971	4940	964
ABCG1	1768	242	2292	322	5985	9033	10057	822	3445	2445	1311	38	3780	3114	375
ABCG2	69	25	5	41	188	118	148	329	589	40	34	30	93	51	132
ABCG4	3	3	7	26	9	1	3	6	17	3	1	9	7	9	5
ABCG5	2	12	9	3	6	1	10	2	6	1	3	10	5	10	3
ABCG8	0	2	3	1	1	0	2	0	1	1	0	1	3	0	0
ABHD10	1642	1687	7147	809	3217	2762	2066	1630	1332	1395	2377	1278	2332	2454	1055
ABHD11	2866	3594	2341	392	4052	2816	2901	1196	1468	1331	3184	2749	4437	3252	694
ABHD12B	2	0	0	0	18	4	4	9	8	0	4	9	562	1	15
ABHD12	2689	3778	3671	1218	6546	4987	4202	1915	2162	4263	16773	6665	6271	7465	1492
ABHD13	1073	280	729	698	803	1748	1465	1343	949	1026	580	908	1171	1346	772
ABHD14A	681	866	281	164	693	883	874	558	622	276	2156	662	403	256	58
ABHD14B	2331	2504	1590	930	2625	4560	4141	3269	3406	3112	10344	2027	3424	3773	700
ABHD15	777	163	250	357	1841	1048	2164	725	1192	482	1660	336	892	583	227
ABHD1	47	28	9	10	108	110	61	31	86	8	56	173	98	11	7
ABHD2	17651	800	5127	6513	21971	18272	39088	5134	11866	8467	5767	939	10219	13420	2230
ABHD3	965	295	1640	635	1177	2184	1253	1378	1313	571	1565	720	2279	1007	949
ABHD4	1293	633	2066	1143	2788	2260	2953	1836	1859	1872	2391	529	1753	1936	518
ABHD5	2683	2434	3679	725	3051	3756	2683	1915	1879	1244	2901	467	2529	2452	959
ABHD6	364	54	272	129	351	371	892	227	507	428	465	194	164	776	110
ABHD8	725	792	273	937	982	739	1531	587	580	630	767	301	930	385	141
ABI1	3390	1964	6650	1900	3337	5875	2467	4165	2802	3840	3574	3307	8174	5351	3003
ABI2	4775	1514	4895	3865	6766	6635	6816	2909	3005	1790	1730	1190	6333	1835	1894
ABI3BP	824	15	27	626	182	1433	249	1500	1114	612	357	63	84	1572	1336
ABI3	261	177	206	268	244	229	311	439	495	351	200	46	311	636	182
ABL1	4410	1833	12664	5419	9876	5847	7257	4909	5631	4869	2385	1138	8764	8030	2520
ABL2	2592	2739	5587	1693	4153	3409	2590	1927	3488	2992	1327	1129	6549	4194	2861
ABLIM1	5307	4379	18021	2227	2472	3864	2141	4304	6778	2848	3593	1215	21909	3929	7513
ABLIM2	510	47	574	233	92	1116	610	138	231	119	106	473	521	202	23
ABLIM3	2559	67	47	199	8507	9507	618	1064	3543	141	1241	58	4882	1130	96
ABO	5	14	8	138	12	7	6	12	43	178	1	1	453	2	12
ABP1	1305	10	11	193	11	694	10	6	47	10	12	773	3	20	24
ABRA	1	0	2	3	0	1	1	1	15	0	1	0	2	0	0
ABR	7837	473	5621	2983	3367	7206	3796	4358	5190	3145	1819	2214	7958	2716	1934
ABT1	824	1252	1151	1998	3150	1018	1393	1490	1000	1093	1948	2129	1094	5252	649
ABTB1	712	482	848	1143	2471	1301	1938	1086	1179	988	526	651	1178	795	196
ABTB2	439	342	1697	422	2368	86	319	216	416	133	135	279	222	747	269
ACAA1	2315	2468	1649	1030	3211	5332	2329	4061	2480	2622	6077	1909	1827	2454	1037
ACAA2	1407	4060	3676	1871	2889	2824	3146	2503	2051	3356	981	2727	3665	3244	2923
ACACA	6854	2468	4373	2384	5126	8275	5360	3080	4549	2315	5963	1952	5681	5072	2722
ACACB	2581	400	3840	709	10494	5348	408	654	7431	285	438	115	901	379	227
ACAD10	1088	710	1687	465	1732	1527	1598	872	1180	549	3455	743	1885	1065	530
ACAD11	923	1046	470	659	1994	638	1052	654	826	525	715	436	1237	504	1311
ACAD8	1892	603	2601	593	980	985	1246	1378	884	652	708	1056	2367	1136	776
ACAD9	1990	3028	6279	2316	5089	3359	2521	1762	1429	2036	4089	1532	2712	4012	1172
ACADL	12	2	47	58	0	6	0	329	70	1	2	94	2	1	2
ACADM	2842	284	3793	1495	2618	5077	2545	4051	1716	2119	1944	1475	3240	2718	1227
ACADSB	13820	328	2058	394	17463	11175	15961	11730	9566	5473	6868	181	6016	8557	972
ACADS	537	368	604	494	1205	923	209	1663	1453	279	3795	816	469	961	187
ACADVL	8209	10308	5325	10057	8536	16290	10647	11390	8561	6422	12624	17196	14623	10592	4805
ACAN	42	174	443	426	79	83	93	176	298	155	194	223	184	54	180
ACAP1	178	199	221	174	43	90	67	297	150	99	117	65	44	687	265
ACAP2	3719	1550	5522	1860	4542	6585	3651	3157	2183	3261	1762	655	5056	5641	1953
ACAP3	1059	1357	1406	598	3099	993	3535	888	1166	1931	1492	572	1585	1486	460
ACAT1	1722	891	3162	742	4097	2979	2067	2988	2974	1486	2731	3975	5176	5053	1390
ACAT2	860	1342	3733	1545	1602	3590	2128	1038	539	565	2040	1333	1682	3096	705
ACBD3	4340	1271	7338	4650	5991	7587	3852	5157	3895	5828	4114	2655	16619	9318	3403
ACBD4	498	212	39	224	1564	721	1330	494	668	219	1360	326	727	316	116
ACBD5	2329	717	2897	653	2939	4017	1241	2456	1197	1075	1503	1204	5296	2635	1373
ACBD6	709	1426	2475	1001	1658	1442	2521	1464	1192	1078	2042	1817	3795	2247	579
ACBD7	133	210	77	64	145	676	145	92	20	96	53	555	66	873	1098
ACCN1	325	8	43	0	1	51	851	4	2	0	5	0	117	0	1
ACCN2	78	144	1663	216	2949	32	2127	171	219	198	91	678	484	483	41
ACCN3	24	194	9	277	28	5	163	22	40	13	14	9	40	154	3
ACCN4	2	7	34	12	1	1	23	13	0	0	2	13	4	4	0
ACCN5	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
ACCSL	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
ACCS	346	311	619	260	417	382	443	410	291	478	821	555	373	160	295
ACD	818	970	1591	592	1340	972	2085	513	490	591	1108	1023	796	965	364
ACE2	4	23	446	10	2	5	6	6	11	4	2	34	0	4	7
ACER1	3	0	25	1	18	0	10	3	8	0	0	0	5	4	0
ACER2	172	8	77	43	458	476	231	153	574	83	57	1	425	434	127
ACER3	1740	1075	1785	373	1425	12672	1621	643	1004	1735	399	724	4541	801	897
ACE	3349	662	3038	1116	3624	1964	367	1034	1873	3287	1306	409	2044	1399	762
ACHE	92	8	52	48	316	10	16	34	27	10	9	4	8	40	57
ACIN1	4272	4852	7076	4867	13720	7908	11747	5969	7326	4466	8243	4410	11660	8949	3762
ACLY	10639	3394	11170	5813	11830	18089	20493	8195	8552	5308	11509	5698	13813	20071	5438
ACMSD	0	2	0	0	22	89	151	74	0	0	39	0	15	12	1
ACN9	149	502	1155	169	334	738	32	404	208	406	20	916	322	88	147
ACO1	2652	729	2105	1048	2505	10170	1994	1983	3151	2565	2187	1274	2399	2387	2251
ACO2	5220	3499	6900	5026	10951	12980	7711	4273	5052	6100	6060	3867	6276	6156	1246
ACOT11	347	56	1077	232	310	320	205	26	93	140	116	362	64	44	31
ACOT12	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
ACOT13	885	1446	1029	959	2861	1991	2272	975	951	801	2898	1785	1045	2829	736
ACOT1	1080	367	333	462	2198	3603	1174	1050	1226	541	3126	420	1821	2059	189
ACOT2	416	227	265	254	951	2279	1002	605	974	291	1321	174	1219	1524	147
ACOT4	486	177	215	75	908	1939	1026	685	373	205	2373	182	1123	417	46
ACOT6	4	4	5	1	4	38	9	5	11	0	92	8	9	5	2
ACOT7	1808	1130	1361	767	1977	2891	2330	657	1026	867	1352	2809	1173	1662	835
ACOT8	776	580	1994	695	1202	794	1662	555	533	691	1669	1592	1099	1722	283
ACOT9	507	324	129	1699	690	1128	548	1064	805	959	303	1882	281	1440	1016
ACOX1	3144	3564	3872	1543	6944	5791	8890	2597	3452	1978	3898	2252	5223	5593	2228
ACOX2	564	15	25	59	1431	923	1508	748	623	1143	1000	2	5955	109	30
ACOX3	1914	556	662	1065	1747	1991	1462	1684	1304	571	1078	859	2652	4386	612
ACOXL	2	3	9	20	32	5	18	0	1	3	1	32	4	2	1
ACP1	3493	3241	10216	4631	9438	5036	5309	4436	2219	2544	4439	7069	9050	5574	2032
ACP2	1646	692	3816	1772	2450	5568	2890	2251	1876	3556	5670	2331	2645	3473	1586
ACP5	2601	504	538	1553	2397	2988	1973	2207	2746	4997	7005	1279	4471	8659	723
ACP6	350	466	466	351	1780	652	637	2002	763	549	937	1350	2411	697	475
ACPL2	1458	987	2954	1064	1002	2214	1519	1369	1353	1332	1105	679	2675	3449	681
ACPP	66	43	204	408	11	73	80	41	14	19	72	17	49	150	73
ACPT	1	0	0	0	0	0	0	10	0	0	0	0	1	0	0
ACRBP	24	78	65	33	107	40	33	41	88	14	151	49	50	87	41
ACRC	75	66	62	21	49	21	23	47	31	38	12	45	53	27	18
ACRV1	2	4	5	6	8	6	2	0	0	0	0	2	1	9	4
ACR	2	17	17	7	5	16	11	3	13	4	4	5	3	5	0
ACSBG1	12	407	3	12	27	11	18	18	6	7	2	12	3	6	63
ACSBG2	10	2	3	0	4	1	8	3	1	2	2	0	10	3	1
ACSF2	450	1306	978	1464	5624	5047	665	1676	3710	911	1582	2474	1948	1843	419
ACSF3	698	673	2114	400	749	1224	1396	813	613	866	945	1164	1033	750	73
ACSL1	10284	829	10020	2074	4039	6289	3379	1478	12684	4889	2149	6185	9815	5955	1732
ACSL3	11184	2998	22904	3577	36223	17818	7452	7950	5010	12056	3833	2811	14858	8492	2136
ACSL4	1702	752	1810	1920	767	1602	799	2541	1397	2015	408	786	817	2159	3821
ACSL5	650	1285	3567	321	271	484	422	2400	2472	1343	447	147	445	1012	1994
ACSL6	114	2	466	0	48	17	9	8	16	5	8	14	19	38	21
ACSM1	108	19	9	6	11	26	12	264	262	1	101	11	501	7	2
ACSM2A	1	0	0	0	0	0	1	2	2	0	0	3	0	0	0
ACSM2B	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ACSM3	18	38	3	96	121	64	132	76	80	4	54	70	60	98	35
ACSM4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACSM5	55	6	2	8	18	46	27	30	126	9	36	1	28	37	29
ACSS1	1677	2049	930	900	3241	2447	3708	759	2232	479	2357	3646	9028	1062	720
ACSS2	6812	1556	1211	1901	1714	3508	2007	1332	2751	3593	2395	1057	4070	2336	1084
ACSS3	1281	72	40	153	70	3786	112	378	627	92	925	97	1165	1255	110
ACTA1	173	13	5	2264	10	10	13	63	888	2	3	13	109	63	0
ACTA2	9584	4844	5121	45139	4650	9303	13955	27641	34018	16681	7874	3302	9602	15412	7948
ACTBL2	14	1	0	41	1	54	0	1	3	1	0	20	1	4	5
ACTB	142762	204249	232018	175169	112517	177734	107727	171552	167512	291825	279445	176347	328675	460265	72628
ACTC1	5	0	3	211	3	6	0	66	316	0	36	3	10	0	2
ACTG1	140387	225681	224491	121522	383009	167089	416187	170542	131522	143067	265207	103192	326015	294388	95582
ACTG2	1607	329	509	28012	249	195	366	1821	7188	193	102	354	92	161	1032
ACTL6A	1944	3668	8463	2467	3092	4462	5356	2546	1488	2070	4158	4870	4119	7946	1471
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ACTL7B	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0
ACTL8	6	610	233	32	0	1	1	4	0	7	29	19	7	202	3118
ACTL9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTN1	9111	7598	11550	27344	9492	15430	10584	13955	20407	15131	10626	3379	21605	14507	7073
ACTN2	315	23	26	20	6	1	4	14	14	1	7	28	1358	4	6
ACTN3	3	0	0	13	3	1	3	5	3	1	3	0	2	2	1
ACTN4	35006	19749	46636	50218	36863	32872	22958	17844	21091	17768	23923	26202	44158	26648	6329
ACTR10	1804	504	1786	1376	3975	4185	4204	3168	1870	1731	2409	3090	4010	4205	1177
ACTR1A	5887	5268	7003	3195	13646	11271	10937	5378	5598	4533	9939	3465	12414	11254	5021
ACTR1B	2149	2295	3799	2232	3672	4930	2505	2963	2590	2771	2239	2550	5949	3738	746
ACTR2	16729	6364	21099	10410	15058	31965	18920	15985	10760	14664	9331	11217	33901	29170	12078
ACTR3B	368	2532	5400	251	735	516	1063	542	447	508	501	349	959	437	610
ACTR3C	245	174	304	22	203	161	77	26	22	29	180	91	152	215	97
ACTR3	8969	4599	15880	13302	6656	12826	9051	9501	6370	12202	6365	6531	24616	13447	6807
ACTR5	393	467	802	655	1012	439	1707	502	401	446	985	1096	985	1871	447
ACTR6	1824	532	2652	565	3668	2343	2299	1767	1074	650	1998	490	2300	2599	1078
ACTR8	1750	312	1020	540	2271	3911	2246	1068	922	1206	969	804	2135	1404	568
ACTRT1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ACTRT2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ACVR1B	3354	1236	6317	1540	7367	4837	5656	2200	3275	1929	4075	1214	6431	4278	880
ACVR1C	126	21	541	46	30	30	21	32	802	19	9	32	65	33	204
ACVR1	1959	546	2112	2387	1592	2947	2292	3267	2325	2718	1407	916	4622	1627	1577
ACVR2A	495	183	1106	783	721	853	1150	1354	674	632	501	628	558	877	660
ACVR2B	1371	169	592	696	3897	2013	3531	857	901	1346	264	506	1397	919	587
ACVRL1	451	312	428	937	1334	681	689	1578	1665	1159	458	273	648	1228	739
ACY1	1624	1219	832	344	2779	3999	2132	1714	1348	1932	3049	2284	1922	1013	164
ACY3	1	90	58	25	0	0	0	4	14	3	1	25	0	19	37
ACYP1	42	86	187	114	357	276	400	110	64	85	301	324	185	409	110
ACYP2	319	479	755	122	231	369	549	322	243	151	74	590	344	214	72
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADAD2	0	4	1	7	2	0	1	6	5	0	0	0	2	0	1
ADAL	473	146	237	162	1080	1466	973	343	386	261	459	119	417	419	82
ADAM10	4168	267	6351	2158	4872	5746	4721	3251	5325	4082	1700	762	5469	4513	2104
ADAM11	13	27	39	82	90	6	149	12	24	14	7	42	33	56	14
ADAM12	2294	396	3341	4522	1104	2844	2757	13869	3650	11312	3273	379	2948	4026	4511
ADAM15	9915	15556	37929	20480	4785	6494	4128	8313	8252	7706	15897	10598	28428	19178	5245
ADAM17	1776	405	4103	2036	4051	2159	1764	1479	1174	1519	722	800	3444	2640	2487
ADAM18	0	0	0	0	0	0	162	0	0	0	1	226	0	0	0
ADAM19	1263	204	1015	2249	848	563	682	1121	472	1658	308	98	553	1180	1677
ADAM20	2	0	0	0	7	1	7	1	1	10	3	0	5	1	3
ADAM21P1	3	1	13	1	2	2	2	0	0	11	1	1	10	4	1
ADAM21	13	5	50	4	15	8	10	16	6	10	10	9	33	11	6
ADAM22	197	23	146	21	398	133	271	22	190	19	65	94	30	114	214
ADAM23	45	2	3296	80	28	33	31	53	33	7	29	15	16	27	53
ADAM28	284	105	227	60	40	512	89	218	129	225	22	0	343	240	208
ADAM29	0	0	2	0	0	1	12	2	1	0	0	0	1	0	2
ADAM2	0	0	0	0	0	2	3	0	0	0	0	5	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	534	67	277	8	90	100	19	25	16	6	49	1352	262	14	88
ADAM33	66	43	1	267	128	38	138	516	385	39	117	21	69	70	40
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ADAM5P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ADAM6	33299	17490	21319	7029	10905	15072	13036	22300	31139	13356	18642	1360	1461	51372	25866
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	625	215	547	694	547	368	536	302	859	4432	467	1982	2357	1742	324
ADAM9	22440	414	3050	2691	5312	43409	8686	8226	1861	4525	4707	84568	10686	4201	5174
ADAMDEC1	72	10	143	294	128	132	228	267	150	307	63	2	82	1089	268
ADAMTS10	106	22	112	464	528	31	117	377	425	249	195	61	668	69	52
ADAMTS12	352	143	237	615	382	511	295	346	370	2159	79	14	614	693	1158
ADAMTS13	123	106	122	253	315	69	754	251	280	51	215	252	384	84	29
ADAMTS14	143	79	490	975	93	64	180	461	209	396	312	33	131	163	185
ADAMTS15	778	15	423	694	2173	1998	1061	1309	464	475	368	9	3188	548	22
ADAMTS16	72	2	10	473	16	41	53	1083	362	1297	56	2444	308	5	2
ADAMTS17	164	47	77	249	271	25	159	265	296	215	33	201	294	110	25
ADAMTS18	22	185	93	59	1121	33	3659	77	87	53	7	0	12	19	20
ADAMTS19	39	5	2	16	377	2	16	2	5	2	0	97	0	29	4
ADAMTS1	1650	807	5013	13917	794	1813	1145	1760	4436	477	367	6252	415	653	1216
ADAMTS20	1	0	1	0	210	0	39	7	0	0	4	0	0	1	0
ADAMTS2	385	97	187	2396	322	464	410	1437	1102	6156	402	105	443	2221	775
ADAMTS3	64	940	95	123	15	77	20	87	77	7	9	38	46	38	822
ADAMTS4	1077	842	1050	4557	1071	1032	692	2110	1470	1604	568	221	1151	908	835
ADAMTS5	360	160	525	627	201	229	266	1314	739	859	49	8441	277	404	278
ADAMTS6	115	26	42	195	38	141	167	245	165	201	74	34	77	159	107
ADAMTS7	88	143	96	917	313	103	356	472	334	927	130	224	351	620	315
ADAMTS8	39	25	362	111	18	50	39	345	28	17	72	4	5	17	29
ADAMTS9	1069	1045	1326	822	671	1367	499	753	838	142	111	1090	517	467	845
ADAMTSL1	226	31	119	278	133	233	174	294	1100	502	35	68	600	147	217
ADAMTSL2	158	443	36	621	158	84	942	688	627	1110	103	168	469	233	440
ADAMTSL3	832	12	1335	96	345	1036	113	176	422	662	36	11	157	798	55
ADAMTSL4	574	84	306	15065	203	182	96	336	1182	440	452	354	277	847	367
ADAMTSL5	352	22	385	53	73	219	69	269	129	127	365	13	202	42	7
ADAP1	752	102	614	279	1620	766	475	289	626	1338	720	1534	634	204	111
ADAP2	554	73	241	332	461	484	636	448	364	1034	371	38	630	902	419
ADARB1	1119	449	659	3650	1975	743	2516	1281	1612	1873	472	710	840	1180	997
ADARB2	3	2	619	1	73	12	0	5	9	7	0	0	13	4	0
ADAR	36489	16122	52888	56882	28440	34932	19196	18295	26970	23872	22033	7375	72839	63341	19037
ADAT1	662	67	305	234	794	1751	896	218	447	477	269	83	1080	382	655
ADAT2	131	625	845	215	152	169	562	177	138	112	203	685	168	211	306
ADAT3	42	263	116	124	53	7	149	88	122	136	121	327	133	72	13
ADA	285	782	587	389	208	167	104	370	166	333	375	1247	822	481	503
ADCK1	229	307	259	252	355	318	626	403	267	590	745	342	652	552	170
ADCK2	1917	584	2114	1951	3789	2630	4152	2198	1957	2502	2928	1466	2975	2211	754
ADCK4	3202	901	3722	1651	2936	1391	1780	1222	1353	989	1941	2860	3785	2088	319
ADCK5	355	470	570	296	771	116	523	315	157	535	514	830	337	522	110
ADCY10	20	0	2	1	31	24	0	5	8	0	16	5	32	2	2
