	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
SEC31A	13794	5736	11409	9371	12471	17311	11861	9145	9180	18497	12008	4302	21797	14987	9884
SEC31B	122	66	239	230	1305	81	632	132	187	109	218	115	247	294	337
SEC61A1	26069	35093	36098	22792	26901	28657	19711	15675	14492	39691	27403	11161	29255	27678	14119
SEC61A2	1035	120	537	359	1548	579	719	194	259	164	639	291	746	3535	359
SEC61B	1921	4849	5209	2180	3789	3039	4168	3130	2204	4975	4730	6271	4578	4275	1306
SEC61G	1837	2890	3873	2035	3108	2768	2475	2331	1123	5453	3131	5836	2817	2829	889
SEC62	6763	5736	11949	3842	9446	20630	10044	8107	6419	7573	11969	7905	17013	12949	3697
SEC63	4476	4036	15080	5137	9553	11637	9033	6542	4788	8211	8569	4871	13049	114282	4796
SECISBP2L	3269	445	6039	1339	8769	6837	3474	1843	2363	2588	765	484	3434	2327	1485
SECISBP2	2044	441	2295	1015	7924	3710	5332	2736	2542	1882	1615	1025	4245	3903	1077
SECTM1	4085	7938	1819	372	535	364	1022	520	400	3721	1079	2383	4720	5310	244
SEH1L	2147	2170	3388	2623	3620	3095	2811	2336	1195	2215	1367	1331	2093	6896	975
SEL1L2	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0
SEL1L3	1033	872	2130	3736	734	671	930	688	1009	353	99	1497	1642	1867	2328
SEL1L	5510	1345	7510	2695	6357	14238	6439	7794	7045	16121	7479	1952	14491	13322	4753
SELENBP1	4585	5064	7701	1289	11208	8395	2842	5528	7539	6812	25745	1033	22414	8696	1742
SELE	785	83	212	163	29	640	133	374	944	115	112	40	117	195	706
SELK	1308	938	1164	520	1424	2452	1482	1220	743	2988	2726	1652	1391	1586	423
SELL	832	95	403	210	67	338	156	260	434	51	268	26	631	1609	1368
SELM	2061	2461	1801	1738	2675	2819	1102	4387	5229	5517	6206	4037	3344	3768	296
SELO	564	1219	846	787	2128	679	1126	907	728	652	731	1491	624	1087	163
SELPLG	659	391	736	485	230	702	379	923	845	1159	643	107	1254	2150	649
SELP	678	38	8	186	146	418	103	547	1179	1	153	3	22	78	359
SELS	2824	966	2868	3126	3714	5511	4031	2777	1409	7289	2699	3209	2979	3399	691
SELT	8780	2888	6689	1933	8516	10487	7478	5444	3571	6744	12745	2153	10187	19463	2300
SELV	0	0	0	0	142	1	1	3	3	0	0	0	1	0	0
SEMA3A	42	454	65	55	18	42	81	143	112	51	36	343	65	102	523
SEMA3B	1508	82	13	922	3107	10679	3757	891	799	767	647	3741	925	139	49
SEMA3C	3972	146	1389	1097	18914	12382	7854	16523	7762	1000	3851	691	15123	7272	2760
SEMA3D	35	7	72	243	25	44	23	800	122	173	20	7420	265	122	129
SEMA3E	135	117	20	99	32	136	127	1010	1300	79	6	2388	2526	170	41
SEMA3F	9475	1281	1623	2045	28672	8086	16114	2672	6075	5607	10136	773	6100	6693	542
SEMA3G	530	143	132	580	731	3254	771	1029	2985	236	818	304	389	292	253
